,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,57700364.0,60147124.0,60807124.0,61520324.0
Share Issued,57700364.0,60147124.0,60807124.0,61520324.0
Net Debt,4998000000.0,3079100000.0,3647000000.0,5412900000.0
Total Debt,7719400000.0,7089900000.0,7164500000.0,7806500000.0
Tangible Book Value,3276900000.0,2751600000.0,2126300000.0,1776300000.0
Invested Capital,10930300000.0,9937900000.0,9437100000.0,9790800000.0
Working Capital,4383400000.0,4856600000.0,5341000000.0,3803900000.0
Net Tangible Assets,3276900000.0,2751600000.0,2126300000.0,1776300000.0
Capital Lease Obligations,2407600000.0,2275800000.0,2226500000.0,2206300000.0
Common Stock Equity,5618500000.0,5123800000.0,4499100000.0,4190600000.0
Total Capitalization,8836000000.0,8682500000.0,8614800000.0,7920800000.0
Total Equity Gross Minority Interest,7039200000.0,6510800000.0,5834700000.0,5504700000.0
Minority Interest,1420700000.0,1387000000.0,1335600000.0,1314100000.0
Stockholders Equity,5618500000.0,5123800000.0,4499100000.0,4190600000.0
Gains Losses Not Affecting Retained Earnings,-42400000.0,-169200000.0,-237700000.0,-129900000.0
Retained Earnings,5070200000.0,4696500000.0,4136900000.0,3729600000.0
Additional Paid In Capital,2900000.0,2900000.0,2900000.0,2900000.0
Capital Stock,587800000.0,593600000.0,597000000.0,588000000.0
Common Stock,587800000.0,593600000.0,597000000.0,588000000.0
Total Liabilities Net Minority Interest,15063100000.0,15291400000.0,14542400000.0,14013600000.0
Total Non Current Liabilities Net Minority Interest,7916100000.0,8501400000.0,9336600000.0,8262200000.0
Other Non Current Liabilities,2322900000.0,2626600000.0,2926900000.0,2280400000.0
Derivative Product Liabilities,4400000.0,10500000.0,10400000.0,5600000.0
Employee Benefits,146700000.0,198800000.0,194700000.0,176400000.0
Non Current Deferred Liabilities,132100000.0,125900000.0,122000000.0,137500000.0
Non Current Deferred Revenue,,,,1100000.0
Non Current Deferred Taxes Liabilities,132100000.0,125900000.0,122000000.0,136400000.0
Long Term Debt And Capital Lease Obligation,5243900000.0,5475500000.0,6012300000.0,5601200000.0
Long Term Capital Lease Obligation,2026400000.0,1916800000.0,1896600000.0,1871000000.0
Long Term Debt,3217500000.0,3558700000.0,4115700000.0,3730200000.0
Long Term Provisions,66100000.0,64100000.0,70300000.0,61100000.0
Current Liabilities,7147000000.0,6790000000.0,5205800000.0,5751400000.0
Other Current Liabilities,1300800000.0,1924000000.0,1347500000.0,819200000.0
Current Deferred Liabilities,316400000.0,291200000.0,246800000.0,222800000.0
Current Deferred Revenue,316400000.0,291200000.0,246800000.0,222800000.0
Current Debt And Capital Lease Obligation,2475500000.0,1614400000.0,1152200000.0,2205300000.0
Current Capital Lease Obligation,381200000.0,359000000.0,329900000.0,335300000.0
Current Debt,2094300000.0,1255400000.0,822300000.0,1870000000.0
Other Current Borrowings,1040200000.0,719800000.0,150500000.0,788200000.0
Line Of Credit,981200000.0,485500000.0,557500000.0,914900000.0
Commercial Paper,21700000.0,,,
Current Notes Payable,51200000.0,50100000.0,114300000.0,166900000.0
Current Provisions,202800000.0,201400000.0,204800000.0,198800000.0
Payables And Accrued Expenses,2851500000.0,2759000000.0,2254500000.0,2305300000.0
Payables,2851500000.0,2759000000.0,2254500000.0,2305300000.0
Other Payable,148400000.0,232200000.0,171700000.0,145700000.0
