,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-268600000.0,1035600000.0,2006300000.0,473800000.0
Repurchase Of Capital Stock,-425400000.0,-131100000.0,-111500000.0,-218000000.0
Repayment Of Debt,-1299500000.0,-944300000.0,-2466900000.0,-1105900000.0
Issuance Of Debt,967800000.0,451900000.0,1447500000.0,902400000.0
Capital Expenditure,-834600000.0,-778800000.0,-436500000.0,-613800000.0
End Cash Position,326300000.0,1751700000.0,1327200000.0,195100000.0
Beginning Cash Position,1751700000.0,1327200000.0,195100000.0,470400000.0
Changes In Cash,-1425400000.0,424500000.0,1132100000.0,-275300000.0
Financing Cash Flow,-1661500000.0,-653400000.0,-462700000.0,-604200000.0
Cash Flow From Continuing Financing Activities,-1661500000.0,-653400000.0,-462700000.0,-604200000.0
Net Other Financing Charges,-1046600000.0,241200000.0,931100000.0,59800000.0
Cash Dividends Paid,-325800000.0,-271100000.0,-262900000.0,-242500000.0
Common Stock Dividend Paid,-325800000.0,-271100000.0,-262900000.0,-242500000.0
Net Common Stock Issuance,-425400000.0,-131100000.0,-111500000.0,-218000000.0
Common Stock Payments,-425400000.0,-131100000.0,-111500000.0,-218000000.0
Net Issuance Payments Of Debt,136300000.0,-492400000.0,-1019400000.0,-203500000.0
Net Short Term Debt Issuance,468000000.0,-136300000.0,-399300000.0,38800000.0
Short Term Debt Payments,,-428600000.0,-648200000.0,-292300000.0
Short Term Debt Issuance,,292300000.0,248900000.0,331100000.0
Net Long Term Debt Issuance,-331700000.0,-356100000.0,-620100000.0,-242300000.0
Long Term Debt Payments,-1299500000.0,-515700000.0,-1818700000.0,-813600000.0
Long Term Debt Issuance,967800000.0,159600000.0,1198600000.0,571300000.0
Investing Cash Flow,-329900000.0,-736500000.0,-848000000.0,-758700000.0
Cash Flow From Continuing Investing Activities,-329900000.0,-736500000.0,-848000000.0,-758700000.0
Net Other Investing Changes,-29300000.0,23800000.0,16800000.0,16400000.0
Net Investment Purchase And Sale,528800000.0,-43200000.0,-441600000.0,-4200000.0
Sale Of Investment,713100000.0,1290200000.0,328800000.0,326000000.0
Purchase Of Investment,-184300000.0,-1333400000.0,-770400000.0,-330200000.0
Net Business Purchase And Sale,,,0.0,-177300000.0
Purchase Of Business,,,0.0,-177300000.0
Net Intangibles Purchase And Sale,-122600000.0,-148200000.0,-129300000.0,-178600000.0
Purchase Of Intangibles,-122600000.0,-148200000.0,-129300000.0,-178600000.0
Net PPE Purchase And Sale,-706800000.0,-568900000.0,-293900000.0,-415000000.0
Sale Of PPE,5200000.0,61700000.0,13300000.0,20200000.0
Purchase Of PPE,-712000000.0,-630600000.0,-307200000.0,-435200000.0
Operating Cash Flow,566000000.0,1814400000.0,2442800000.0,1087600000.0
Cash Flow From Continuing Operating Activities,566000000.0,1814400000.0,2442800000.0,1087600000.0
Taxes Refund Paid,-529300000.0,-333900000.0,-200500000.0,-347900000.0
Interest Received Cfo,21300000.0,13900000.0,15800000.0,27300000.0
Interest Paid Cfo,-254600000.0,-233000000.0,-272600000.0,-297300000.0
Change In Working Capital,-574400000.0,241600000.0,-183700000.0,-105500000.0
Change In Other Working Capital,-574400000.0,241600000.0,-183700000.0,-105500000.0
Change In Receivables,,-486800000.0,925100000.0,-270400000.0
Other Non Cash Items,-405300000.0,-264300000.0,1181600000.0,-3600000.0
Unrealized Gain Loss On Investment Securities,,,,0.0
Asset Impairment Charge,3100000.0,5300000.0,46900000.0,
Deferred Tax,401000000.0,441200000.0,309500000.0,288100000.0
Deferred Income Tax,401000000.0,441200000.0,309500000.0,288100000.0
Depreciation Amortization Depletion,743500000.0,701500000.0,695300000.0,657500000.0
Depreciation And Amortization,743500000.0,701500000.0,695300000.0,657500000.0
Amortization Cash Flow,122500000.0,119600000.0,112700000.0,110800000.0
Amortization Of Intangibles,122500000.0,119600000.0,112700000.0,110800000.0
Depreciation,621000000.0,581900000.0,582600000.0,546700000.0
Operating Gains Losses,-22100000.0,-18600000.0,-12100000.0,-25800000.0
Gain Loss On Sale Of PPE,-22100000.0,-18600000.0,-12100000.0,-25800000.0
Net Income From Continuing Operations,1182800000.0,1260700000.0,862600000.0,894800000.0
