,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.253189,0.25924,0.264056,0.243554
Normalized EBITDA,2414900000.0,2493700000.0,1965600000.0,1947500000.0
Net Income From Continuing Operation Net Minority Interest,1044100000.0,1127600000.0,751800000.0,778400000.0
Reconciled Depreciation,743500000.0,701500000.0,695300000.0,657500000.0
Reconciled Cost Of Revenue,11688200000.0,10439200000.0,9781500000.0,9650500000.0
EBITDA,2414900000.0,2493700000.0,1965600000.0,1947500000.0
EBIT,1671400000.0,1792200000.0,1270300000.0,1290000000.0
Net Interest Income,-231000000.0,-222500000.0,-256500000.0,-266800000.0
Interest Expense,87600000.0,90300000.0,98200000.0,107100000.0
Interest Income,4900000.0,5100000.0,5800000.0,6100000.0
Normalized Income,1044100000.0,1127600000.0,751800000.0,778400000.0
Net Income From Continuing And Discontinued Operation,1044100000.0,1127600000.0,751800000.0,778400000.0
Total Expenses,15934200000.0,14391200000.0,13393700000.0,13098100000.0
Rent Expense Supplemental,486800000.0,461600000.0,433500000.0,417600000.0
Diluted Average Shares,59336919.0,61345072.0,61090111.0,61861486.0
Basic Average Shares,58983364.0,60744440.0,60896809.0,61794565.0
Diluted EPS,17.6,18.38,12.31,12.58
Basic EPS,17.7,18.56,12.35,12.6
Diluted NI Availto Com Stockholders,1044100000.0,1127600000.0,751800000.0,778400000.0
Net Income Common Stockholders,1044100000.0,1127600000.0,751800000.0,778400000.0
Net Income,1044100000.0,1127600000.0,751800000.0,778400000.0
Minority Interests,-138700000.0,-133100000.0,-110800000.0,-116400000.0
Net Income Including Noncontrolling Interests,1182800000.0,1260700000.0,862600000.0,894800000.0
Net Income Continuous Operations,1182800000.0,1260700000.0,862600000.0,894800000.0
Tax Provision,401000000.0,441200000.0,309500000.0,288100000.0
Pretax Income,1583800000.0,1701900000.0,1172100000.0,1182900000.0
Other Income Expense,-61600000.0,23500000.0,-48700000.0,13400000.0
Other Non Operating Income Expenses,-61600000.0,23500000.0,-48700000.0,13400000.0
Net Non Operating Interest Income Expense,-231000000.0,-222500000.0,-256500000.0,-266800000.0
Total Other Finance Cost,148300000.0,137300000.0,164100000.0,165800000.0
Interest Expense Non Operating,87600000.0,90300000.0,98200000.0,107100000.0
Interest Income Non Operating,4900000.0,5100000.0,5800000.0,6100000.0
Operating Income,1876400000.0,1900900000.0,1477300000.0,1436300000.0
Operating Expense,4221500000.0,3934300000.0,3599300000.0,3437500000.0
Depreciation Amortization Depletion Income Statement,719000000.0,683800000.0,682400000.0,647400000.0
Depreciation And Amortization In Income Statement,719000000.0,683800000.0,682400000.0,647400000.0
Amortization,122500000.0,119600000.0,112700000.0,110800000.0
Amortization Of Intangibles Income Statement,122500000.0,119600000.0,112700000.0,110800000.0
Depreciation Income Statement,596500000.0,564200000.0,569700000.0,536600000.0
Selling General And Administration,3502500000.0,3250500000.0,2916900000.0,2790100000.0
Selling And Marketing Expense,429100000.0,377600000.0,301900000.0,312800000.0
General And Administrative Expense,3073400000.0,2872900000.0,2615000000.0,2477300000.0
Other Gand A,1009100000.0,835800000.0,751700000.0,684700000.0
Rent And Landing Fees,486800000.0,461600000.0,433500000.0,417600000.0
Salaries And Wages,1577500000.0,1575500000.0,1429800000.0,1375000000.0
Gross Profit,6097900000.0,5835200000.0,5076600000.0,4873800000.0
Cost Of Revenue,11712700000.0,10456900000.0,9794400000.0,9660600000.0
Total Revenue,17810600000.0,16292100000.0,14871000000.0,14534400000.0
Operating Revenue,17810600000.0,16292100000.0,14871000000.0,14534400000.0
