,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Ordinary Shares Number,56730364.0,56730364.0,57700364.0,58520364.0
Share Issued,56730364.0,56730364.0,57700364.0,58520364.0
Net Debt,5298600000.0,5766300000.0,4998000000.0,5254600000.0
Total Debt,7995000000.0,8381500000.0,7719400000.0,7984500000.0
Tangible Book Value,2890200000.0,2995200000.0,3276900000.0,3127800000.0
Invested Capital,10870100000.0,11361000000.0,10930300000.0,10960400000.0
Working Capital,3745600000.0,4204000000.0,4383400000.0,4771600000.0
Net Tangible Assets,2890200000.0,2995200000.0,3276900000.0,3127800000.0
Capital Lease Obligations,2263600000.0,2303400000.0,2407600000.0,2422000000.0
Common Stock Equity,5138700000.0,5282900000.0,5618500000.0,5397900000.0
Total Capitalization,7797600000.0,8501200000.0,8836000000.0,9014900000.0
Total Equity Gross Minority Interest,6556800000.0,6702900000.0,7039200000.0,6826600000.0
Minority Interest,1418100000.0,1420000000.0,1420700000.0,1428700000.0
Stockholders Equity,5138700000.0,5282900000.0,5618500000.0,5397900000.0
Gains Losses Not Affecting Retained Earnings,-218300000.0,-147900000.0,-42400000.0,-20400000.0
Retained Earnings,4767600000.0,4843900000.0,5070200000.0,4815700000.0
Additional Paid In Capital,2900000.0,2900000.0,2900000.0,2900000.0
Capital Stock,586500000.0,584000000.0,587800000.0,599700000.0
Common Stock,586500000.0,584000000.0,587800000.0,599700000.0
Total Liabilities Net Minority Interest,15283800000.0,15459900000.0,15063100000.0,15384800000.0
Total Non Current Liabilities Net Minority Interest,7579700000.0,7962000000.0,7916100000.0,8360800000.0
Other Non Current Liabilities,2838700000.0,2615900000.0,2322900000.0,2536100000.0
Derivative Product Liabilities,,,4400000.0,
Employee Benefits,,,146700000.0,
Non Current Deferred Liabilities,122300000.0,128500000.0,132100000.0,121600000.0
Non Current Deferred Taxes Liabilities,122300000.0,128500000.0,132100000.0,121600000.0
Long Term Debt And Capital Lease Obligation,4550800000.0,5152700000.0,5243900000.0,5650600000.0
Long Term Capital Lease Obligation,1891900000.0,1934400000.0,2026400000.0,2033600000.0
Long Term Debt,2658900000.0,3218300000.0,3217500000.0,3617000000.0
