,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Free Cash Flow,744500000.0,-440200000.0,740000000.0,-588300000.0
Repurchase Of Capital Stock,-149400000.0,-168000000.0,-127600000.0,-78600000.0
Repayment Of Debt,-522200000.0,-226200000.0,-121400000.0,-736200000.0
Issuance Of Debt,73600000.0,865100000.0,-676500000.0,1256700000.0
Capital Expenditure,-78900000.0,-129100000.0,-295300000.0,-258700000.0
End Cash Position,432800000.0,311800000.0,326300000.0,302900000.0
Beginning Cash Position,311800000.0,326300000.0,302900000.0,508000000.0
Changes In Cash,121000000.0,-14500000.0,23400000.0,-205100000.0
Financing Cash Flow,-628400000.0,455700000.0,-705500000.0,265200000.0
Cash Flow From Continuing Financing Activities,-628400000.0,455700000.0,-705500000.0,265200000.0
Net Other Financing Charges,59200000.0,78500000.0,-158600000.0,-86800000.0
Cash Dividends Paid,-89600000.0,-93700000.0,-89400000.0,-89900000.0
Common Stock Dividend Paid,-89600000.0,-93700000.0,-89400000.0,-89900000.0
Net Common Stock Issuance,-149400000.0,-168000000.0,-127600000.0,-78600000.0
Common Stock Payments,-149400000.0,-168000000.0,-127600000.0,-78600000.0
Net Issuance Payments Of Debt,-448600000.0,638900000.0,-329900000.0,520500000.0
Net Short Term Debt Issuance,-345800000.0,825600000.0,-288500000.0,734200000.0
Short Term Debt Payments,-345800000.0,-39500000.0,,-72500000.0
Short Term Debt Issuance,,865100000.0,,806700000.0
Net Long Term Debt Issuance,-102800000.0,-186700000.0,-41400000.0,-213700000.0
Long Term Debt Payments,-176400000.0,-186700000.0,-309200000.0,-663700000.0
Long Term Debt Issuance,73600000.0,0.0,267800000.0,450000000.0
Investing Cash Flow,-74000000.0,-159100000.0,-306400000.0,-140700000.0
Cash Flow From Continuing Investing Activities,-74000000.0,-159100000.0,-306400000.0,-140700000.0
Net Other Investing Changes,5500000.0,-23300000.0,-41900000.0,4200000.0
Net Investment Purchase And Sale,-600000.0,-6700000.0,31300000.0,113800000.0
Sale Of Investment,31600000.0,31600000.0,63500000.0,149900000.0
Purchase Of Investment,-32200000.0,-38300000.0,-32200000.0,-36100000.0
Net Intangibles Purchase And Sale,-25400000.0,-29000000.0,-34100000.0,-19100000.0
Purchase Of Intangibles,-25400000.0,-29000000.0,-34100000.0,-19100000.0
Net PPE Purchase And Sale,-53500000.0,-100100000.0,-261700000.0,-239600000.0
Sale Of PPE,0.0,0.0,-500000.0,0.0
Purchase Of PPE,-53500000.0,-100100000.0,-261200000.0,-239600000.0
Operating Cash Flow,823400000.0,-311100000.0,1035300000.0,-329600000.0
Cash Flow From Continuing Operating Activities,823400000.0,-311100000.0,1035300000.0,-329600000.0
Taxes Refund Paid,-53400000.0,-102100000.0,-80200000.0,-112500000.0
Interest Received Cfo,8000000.0,7100000.0,6100000.0,6800000.0
Interest Paid Cfo,-77600000.0,-96300000.0,-67200000.0,-76600000.0
Change In Working Capital,756000000.0,-681600000.0,346200000.0,-577000000.0
Change In Other Working Capital,,-681600000.0,346200000.0,-577000000.0
Other Non Cash Items,-181100000.0,295700000.0,-84700000.0,-62300000.0
Asset Impairment Charge,,,3100000.0,0.0
Deferred Tax,47000000.0,23800000.0,189600000.0,73600000.0
Deferred Income Tax,47000000.0,23800000.0,189600000.0,73600000.0
Depreciation Amortization Depletion,195400000.0,203000000.0,194300000.0,190000000.0
Depreciation And Amortization,195400000.0,203000000.0,194300000.0,190000000.0
Amortization Cash Flow,30700000.0,32300000.0,32100000.0,31300000.0
Amortization Of Intangibles,30700000.0,32300000.0,32100000.0,31300000.0
Depreciation,164700000.0,170700000.0,162200000.0,158700000.0
Operating Gains Losses,2200000.0,-3500000.0,-34500000.0,3400000.0
Gain Loss On Sale Of PPE,2200000.0,-3500000.0,-13700000.0,3400000.0
Gain Loss On Sale Of Business,0.0,,,0.0
Net Income From Continuing Operations,126900000.0,42800000.0,562600000.0,225000000.0
