,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Ordinary Shares Number,284505648.0,292813569.0,310266429.0,310231037.0
Share Issued,284505648.0,292813569.0,310266429.0,310231037.0
Net Debt,2144475000.0,1815242000.0,1437756000.0,1786319000.0
Total Debt,4206479000.0,3613728000.0,3460562000.0,3391531000.0
Tangible Book Value,-864026000.0,-957882000.0,-554719000.0,-972945000.0
Invested Capital,2274146000.0,1820266000.0,2211754000.0,1784587000.0
Working Capital,-5927000.0,-194524000.0,-220803000.0,-327987000.0
Net Tangible Assets,-864026000.0,-957882000.0,-554719000.0,-972945000.0
Capital Lease Obligations,1960743000.0,1727428000.0,1583662000.0,1514748000.0
Common Stock Equity,28410000.0,-66034000.0,334854000.0,-92196000.0
Total Capitalization,1763831000.0,1473206000.0,1378933000.0,1178093000.0
Total Equity Gross Minority Interest,28410000.0,-66034000.0,334854000.0,-92196000.0
Stockholders Equity,28410000.0,-66034000.0,334854000.0,-92196000.0
Gains Losses Not Affecting Retained Earnings,11736000.0,-325000.0,-29177000.0,4102000.0
Retained Earnings,-514078000.0,-578079000.0,-149983000.0,-574110000.0
Additional Paid In Capital,42678000.0,32924000.0,28527000.0,29108000.0
Capital Stock,488074000.0,479446000.0,485487000.0,448704000.0
Common Stock,488074000.0,479446000.0,485487000.0,448704000.0
Total Liabilities Net Minority Interest,4791246000.0,4129596000.0,3888892000.0,3808652000.0
Total Non Current Liabilities Net Minority Interest,3628372000.0,3217705000.0,2567727000.0,2716168000.0
Derivative Product Liabilities,6167000.0,,,
Non Current Deferred Liabilities,144848000.0,151901000.0,121879000.0,113863000.0
Non Current Deferred Taxes Liabilities,144848000.0,151901000.0,121879000.0,113863000.0
Long Term Debt And Capital Lease Obligation,3477357000.0,3065804000.0,2445848000.0,2602305000.0
Long Term Capital Lease Obligation,1741936000.0,1526564000.0,1401769000.0,1332016000.0
Long Term Debt,1735421000.0,1539240000.0,1044079000.0,1270289000.0
Current Liabilities,1162874000.0,911891000.0,1321165000.0,1092484000.0
Other Current Liabilities,8490000.0,3435000.0,25821000.0,267000.0
Current Debt And Capital Lease Obligation,729122000.0,547924000.0,1014714000.0,789226000.0
Current Capital Lease Obligation,218807000.0,200864000.0,181893000.0,182732000.0
Current Debt,510315000.0,347060000.0,832821000.0,606494000.0
Other Current Borrowings,510315000.0,257674000.0,832821000.0,606494000.0
Commercial Paper,0.0,89386000.0,,
Pensionand Other Post Retirement Benefit Plans Current,,66485000.0,61793000.0,48190000.0
Payables And Accrued Expenses,425262000.0,360532000.0,280630000.0,302991000.0
Current Accrued Expenses,103832000.0,108551000.0,89946000.0,133303000.0
Payables,321430000.0,251981000.0,190684000.0,169688000.0
Other Payable,79387000.0,66485000.0,61793000.0,48190000.0
Dividends Payable,15828000.0,14891000.0,14583000.0,13737000.0
Total Tax Payable,123304000.0,103959000.0,47617000.0,43033000.0
Income Tax Payable,72572000.0,62516000.0,12975000.0,0.0
Accounts Payable,102911000.0,66646000.0,66691000.0,64728000.0
Total Assets,4819656000.0,4063562000.0,4223746000.0,3716456000.0
Total Non Current Assets,3662709000.0,3346195000.0,3123384000.0,2951959000.0
Financial Assets,0.0,290000.0,314000.0,
Investments And Advances,267768000.0,211926000.0,179389000.0,143421000.0
Long Term Equity Investment,267768000.0,211926000.0,179389000.0,143421000.0
Goodwill And Other Intangible Assets,892436000.0,891848000.0,889573000.0,880749000.0
Other Intangible Assets,164654000.0,164066000.0,161791000.0,152967000.0
Goodwill,727782000.0,727782000.0,727782000.0,727782000.0
Net PPE,2502505000.0,2242131000.0,2054108000.0,1927789000.0
Accumulated Depreciation,-701588000.0,-614698000.0,-539562000.0,-483684000.0
Gross PPE,3204093000.0,2856829000.0,2593670000.0,2411473000.0
Leases,559337000.0,501880000.0,451186000.0,405610000.0
Construction In Progress,,,0.0,0.0
Other Properties,2395719000.0,2115580000.0,1914988000.0,1788499000.0
Machinery Furniture Equipment,89030000.0,79378000.0,67581000.0,57690000.0
Buildings And Improvements,89662000.0,89646000.0,89570000.0,89329000.0
Land And Improvements,70345000.0,70345000.0,70345000.0,70345000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1156947000.0,717367000.0,1100362000.0,764497000.0
Hedging Assets Current,18762000.0,15987000.0,468000.0,3876000.0
Prepaid Assets,23462000.0,13135000.0,9549000.0,11702000.0
Inventory,957172000.0,590927000.0,630655000.0,623490000.0
Receivables,56290000.0,26260000.0,20546000.0,34965000.0
Accounts Receivable,56290000.0,26260000.0,20546000.0,34965000.0
Cash Cash Equivalents And Short Term Investments,101261000.0,71058000.0,439144000.0,90464000.0
Cash And Cash Equivalents,101261000.0,71058000.0,439144000.0,90464000.0
Cash Financial,101261000.0,71058000.0,439144000.0,90464000.0
