,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,712216000.0,906371000.0,721245000.0,591886000.0
Repurchase Of Capital Stock,-688996000.0,-1059918000.0,-87042000.0,-327155000.0
Repayment Of Debt,-503566000.0,-1008285000.0,-463804000.0,-152717000.0
Issuance Of Debt,700000000.0,838381000.0,300000000.0,0.0
Issuance Of Capital Stock,19242000.0,19164000.0,32399000.0,41174000.0
Capital Expenditure,-156827000.0,-159512000.0,-167837000.0,-140622000.0
Interest Paid Supplemental Data,166156000.0,91811000.0,93877000.0,227669000.0
Income Tax Paid Supplemental Data,271854000.0,161310000.0,170207000.0,97801000.0
End Cash Position,101261000.0,71058000.0,439144000.0,90464000.0
Beginning Cash Position,71058000.0,439144000.0,90464000.0,50371000.0
Changes In Cash,30203000.0,-368086000.0,348680000.0,40093000.0
Financing Cash Flow,-682291000.0,-1275296000.0,-275877000.0,-493102000.0
Cash Flow From Continuing Financing Activities,-682291000.0,-1275296000.0,-275877000.0,-493102000.0
Net Other Financing Charges,6569000.0,-4174000.0,-2660000.0,-260000.0
Interest Paid Cff,-64180000.0,,,
Cash Dividends Paid,-62975000.0,-60464000.0,-54770000.0,-54144000.0
Common Stock Dividend Paid,-62975000.0,-60464000.0,-54770000.0,-54144000.0
Net Common Stock Issuance,-669754000.0,-1040754000.0,-54643000.0,-285981000.0
Common Stock Payments,-688996000.0,-1059918000.0,-87042000.0,-327155000.0
Common Stock Issuance,19242000.0,19164000.0,32399000.0,41174000.0
Net Issuance Payments Of Debt,108049000.0,-169904000.0,-163804000.0,-152717000.0
Net Short Term Debt Issuance,-88385000.0,88381000.0,0.0,
Short Term Debt Payments,,,0.0,
Short Term Debt Issuance,,88381000.0,,
Net Long Term Debt Issuance,196434000.0,-258285000.0,-163804000.0,-152717000.0
Long Term Debt Payments,-503566000.0,-1008285000.0,-463804000.0,-152717000.0
Long Term Debt Issuance,700000000.0,750000000.0,300000000.0,0.0
Investing Cash Flow,-156549000.0,-158673000.0,-264525000.0,-199313000.0
Cash Flow From Continuing Investing Activities,-156549000.0,-158673000.0,-264525000.0,-199313000.0
Net Business Purchase And Sale,,0.0,-97281000.0,-59546000.0
Purchase Of Business,,0.0,-97281000.0,-59546000.0
Net Intangibles Purchase And Sale,-22778000.0,-22740000.0,-27797000.0,-19659000.0
Purchase Of Intangibles,-22778000.0,-22740000.0,-27797000.0,-19659000.0
Net PPE Purchase And Sale,-133771000.0,-135933000.0,-139447000.0,-120108000.0
Sale Of PPE,278000.0,839000.0,593000.0,855000.0
Purchase Of PPE,-134049000.0,-136772000.0,-140040000.0,-120963000.0
Operating Cash Flow,869043000.0,1065883000.0,889082000.0,732508000.0
Cash Flow From Continuing Operating Activities,869043000.0,1065883000.0,889082000.0,732508000.0
Change In Working Capital,-351218000.0,110094000.0,55531000.0,-84356000.0
Change In Payables And Accrued Expense,54117000.0,79650000.0,46471000.0,-48955000.0
Change In Payable,54117000.0,79650000.0,46471000.0,-48955000.0
Change In Account Payable,46240000.0,30105000.0,33727000.0,-12600000.0
Change In Tax Payable,7877000.0,49545000.0,12744000.0,-36355000.0
Change In Income Tax Payable,7877000.0,49545000.0,12744000.0,-36355000.0
Change In Prepaid Assets,-10327000.0,-3586000.0,2163000.0,5639000.0
Change In Inventory,-366241000.0,39729000.0,-7164000.0,-42262000.0
Change In Receivables,-28767000.0,-5699000.0,14061000.0,1222000.0
Changes In Account Receivables,-28767000.0,-5699000.0,14061000.0,1222000.0
Other Non Cash Items,125306000.0,2668000.0,2317000.0,3815000.0
Stock Based Compensation,14187000.0,8617000.0,6240000.0,5448000.0
Amortization Of Securities,,-435000.0,,
Deferred Tax,-7488000.0,19529000.0,15843000.0,15015000.0
Deferred Income Tax,-7488000.0,19529000.0,15843000.0,15015000.0
Depreciation Amortization Depletion,331792000.0,297960000.0,269633000.0,242785000.0
Depreciation And Amortization,331792000.0,297960000.0,269633000.0,242785000.0
Amortization Cash Flow,22190000.0,20465000.0,,15728000.0
Amortization Of Intangibles,22190000.0,20465000.0,,15728000.0
Depreciation,309602000.0,277495000.0,,227057000.0
Operating Gains Losses,-45399000.0,-35719000.0,-24830000.0,-14238000.0
Earnings Losses From Equity Investments,-45399000.0,-33184000.0,-19654000.0,-10263000.0
Gain Loss On Investment Securities,,-435000.0,-354000.0,-3213000.0
Net Income From Continuing Operations,801863000.0,663169000.0,564348000.0,564039000.0
