,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31
Ordinary Shares Number,282664101.0,252384000.0,284505648.0,287248875.0,288155622.0
Share Issued,282664101.0,252384000.0,284505648.0,287248875.0,288155622.0
Net Debt,2002066000.0,,2144475000.0,2186552000.0,2119879000.0
Total Debt,4272088000.0,,4206479000.0,4588853000.0,3992415000.0
Tangible Book Value,-690366000.0,218236000.0,-864026000.0,-849059000.0,-1013805000.0
Invested Capital,2458136000.0,218236000.0,2274146000.0,2786530000.0,2067865000.0
Working Capital,106922000.0,144260000.0,-5927000.0,538179000.0,-298226000.0
Net Tangible Assets,-690366000.0,218236000.0,-864026000.0,-849059000.0,-1013805000.0
Capital Lease Obligations,2017542000.0,,1960743000.0,1843142000.0,1801671000.0
Common Stock Equity,203590000.0,218236000.0,28410000.0,40819000.0,-122879000.0
Total Capitalization,1943266000.0,218236000.0,1763831000.0,2273442000.0,1412915000.0
Total Equity Gross Minority Interest,203590000.0,,28410000.0,40819000.0,-122879000.0
Stockholders Equity,203590000.0,218236000.0,28410000.0,40819000.0,-122879000.0
Gains Losses Not Affecting Retained Earnings,16556000.0,,11736000.0,45072000.0,-3673000.0
Other Equity Adjustments,16556000.0,,,,
Retained Earnings,-371664000.0,,-514078000.0,-533876000.0,-644927000.0
Additional Paid In Capital,42641000.0,,42678000.0,38477000.0,35572000.0
Capital Stock,516057000.0,,488074000.0,491146000.0,490149000.0
Common Stock,516057000.0,,488074000.0,491146000.0,490149000.0
Total Liabilities Net Minority Interest,4796170000.0,4993852000.0,4791246000.0,5138381000.0,4523679000.0
Total Non Current Liabilities Net Minority Interest,3672341000.0,3651897000.0,3628372000.0,4019168000.0,3274087000.0
Derivative Product Liabilities,2583000.0,,6167000.0,,313000.0
Non Current Deferred Liabilities,144238000.0,,144848000.0,153872000.0,145170000.0
Non Current Deferred Taxes Liabilities,144238000.0,,144848000.0,153872000.0,145170000.0
Long Term Debt And Capital Lease Obligation,3525520000.0,,3477357000.0,3865296000.0,3128604000.0
Long Term Capital Lease Obligation,1785844000.0,,1741936000.0,1632673000.0,1592810000.0
Long Term Debt,1739676000.0,,1735421000.0,2232623000.0,1535794000.0
Current Liabilities,1123829000.0,1123719000.0,1162874000.0,1119213000.0,1249592000.0
Other Current Liabilities,4807000.0,,8490000.0,9161000.0,14972000.0
Current Debt And Capital Lease Obligation,746568000.0,,729122000.0,723557000.0,863811000.0
Current Capital Lease Obligation,231698000.0,,218807000.0,210469000.0,208861000.0
Current Debt,514870000.0,,510315000.0,513088000.0,654950000.0
Other Current Borrowings,514870000.0,,510315000.0,268808000.0,258392000.0
Commercial Paper,,,0.0,244280000.0,396558000.0
Payables And Accrued Expenses,372454000.0,,425262000.0,386495000.0,370809000.0
Current Accrued Expenses,,,103832000.0,,
Payables,372454000.0,,321430000.0,386495000.0,370809000.0
Other Payable,,,79387000.0,,
Dividends Payable,20063000.0,,15828000.0,15895000.0,15984000.0
Total Tax Payable,42118000.0,,123304000.0,61578000.0,26073000.0
Income Tax Payable,42118000.0,,72572000.0,61578000.0,26073000.0
Accounts Payable,310273000.0,,102911000.0,309022000.0,328752000.0
Total Assets,4999760000.0,4993852000.0,4819656000.0,5179200000.0,4400800000.0
Total Non Current Assets,3769009000.0,3725873000.0,3662709000.0,3521808000.0,3449434000.0
Financial Assets,,,0.0,0.0,287000.0
Investments And Advances,301858000.0,,267768000.0,260562000.0,233766000.0
Long Term Equity Investment,301858000.0,,267768000.0,260562000.0,233766000.0
Goodwill And Other Intangible Assets,893956000.0,,892436000.0,889878000.0,890926000.0
Other Intangible Assets,166174000.0,,164654000.0,162096000.0,163144000.0
Goodwill,727782000.0,,727782000.0,727782000.0,727782000.0
Net PPE,2573195000.0,,2502505000.0,2371368000.0,2324455000.0
Accumulated Depreciation,,,-701588000.0,,
Gross PPE,2573195000.0,,3204093000.0,2371368000.0,2324455000.0
Leases,,,559337000.0,,
Other Properties,2573195000.0,,2395719000.0,2371368000.0,2324455000.0
Machinery Furniture Equipment,,,89030000.0,,
Buildings And Improvements,,,89662000.0,,
Land And Improvements,,,70345000.0,,
Properties,,,0.0,,
Current Assets,1230751000.0,1267979000.0,1156947000.0,1657392000.0,951366000.0
Other Current Assets,,330292000.0,,,
Hedging Assets Current,15842000.0,,18762000.0,41352000.0,10385000.0
Prepaid Assets,17289000.0,,23462000.0,8811000.0,12003000.0
Inventory,910934000.0,937687000.0,957172000.0,1007108000.0,823432000.0
Receivables,34206000.0,,56290000.0,40962000.0,34681000.0
Accounts Receivable,34206000.0,,56290000.0,40962000.0,34681000.0
Cash Cash Equivalents And Short Term Investments,252480000.0,252063000.0,101261000.0,559159000.0,70865000.0
Cash And Cash Equivalents,252480000.0,252063000.0,101261000.0,559159000.0,70865000.0
Cash Financial,,,101261000.0,559159000.0,70865000.0
