,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31
Free Cash Flow,358288000.0,235997000.0,438187000.0,90335000.0,72257000.0
Repurchase Of Capital Stock,-248113000.0,0.0,-230492000.0,-76305000.0,-274861000.0
Repayment Of Debt,-71482000.0,-65799000.0,-351880000.0,-51940000.0,-49333000.0
Issuance Of Debt,0.0,,0.0,700000000.0,0.0
Issuance Of Capital Stock,4600000.0,22397000.0,1426000.0,2164000.0,1647000.0
Capital Expenditure,-41813000.0,-47083000.0,-52558000.0,-35847000.0,-37079000.0
Interest Paid Supplemental Data,16277000.0,15621000.0,93444000.0,23112000.0,34175000.0
Income Tax Paid Supplemental Data,73675000.0,,75507000.0,37647000.0,76789000.0
End Cash Position,252480000.0,252063000.0,101261000.0,559159000.0,70865000.0
Beginning Cash Position,252063000.0,101261000.0,559159000.0,70865000.0,71574000.0
Changes In Cash,417000.0,150802000.0,-457898000.0,488294000.0,-709000.0
Financing Cash Flow,-358124000.0,-85352000.0,-896194000.0,397842000.0,-73000000.0
Cash Flow From Continuing Financing Activities,-358124000.0,-85352000.0,-896194000.0,397842000.0,-73000000.0
Net Other Financing Charges,-481000.0,,10416000.0,-3109000.0,-738000.0
Interest Paid Cff,-22441000.0,-26122000.0,,,
Cash Dividends Paid,-20207000.0,-15828000.0,-15895000.0,-15984000.0,-16206000.0
Common Stock Dividend Paid,-20207000.0,-15828000.0,-15895000.0,-15984000.0,-16206000.0
Net Common Stock Issuance,-243513000.0,22397000.0,-229066000.0,-74141000.0,-273214000.0
Common Stock Payments,-248113000.0,0.0,-230492000.0,-76305000.0,-274861000.0
Common Stock Issuance,4600000.0,22397000.0,1426000.0,2164000.0,1647000.0
Net Issuance Payments Of Debt,-71482000.0,-65799000.0,-597469000.0,491076000.0,217158000.0
Net Short Term Debt Issuance,0.0,0.0,-245589000.0,-156984000.0,266491000.0
Short Term Debt Issuance,0.0,,,,
Net Long Term Debt Issuance,-71482000.0,-65799000.0,-351880000.0,648060000.0,-49333000.0
Long Term Debt Payments,-71482000.0,-65799000.0,-351880000.0,-51940000.0,-49333000.0
Long Term Debt Issuance,,,0.0,700000000.0,0.0
Investing Cash Flow,-41560000.0,-46926000.0,-52449000.0,-35730000.0,-37045000.0
Cash Flow From Continuing Investing Activities,-41560000.0,-46926000.0,-52449000.0,-35730000.0,-37045000.0
Net Intangibles Purchase And Sale,-7387000.0,-5453000.0,-8192000.0,-4477000.0,-5479000.0
Purchase Of Intangibles,-7387000.0,-5453000.0,-8192000.0,-4477000.0,-5479000.0
Net PPE Purchase And Sale,-34173000.0,-41473000.0,-44257000.0,-31253000.0,-31566000.0
Sale Of PPE,253000.0,157000.0,109000.0,117000.0,34000.0
Purchase Of PPE,-34426000.0,-41630000.0,-44366000.0,-31370000.0,-31600000.0
Operating Cash Flow,400101000.0,283080000.0,490745000.0,126182000.0,109336000.0
Cash Flow From Continuing Operating Activities,400101000.0,283080000.0,490745000.0,126182000.0,109336000.0
Interest Received Cfo,2880000.0,7489000.0,,,
Change In Working Capital,33175000.0,-21083000.0,57498000.0,-174633000.0,-152985000.0
Change In Other Working Capital,,,,-4496000.0,
Change In Other Current Liabilities,,,,-22706000.0,33898000.0
Change In Payables And Accrued Expense,-3896000.0,-58170000.0,57504000.0,33052000.0,-9168000.0
Change In Payable,-3896000.0,-58170000.0,57504000.0,33052000.0,-9168000.0
Change In Account Payable,-15017000.0,-16940000.0,,,33898000.0
Change In Tax Payable,11121000.0,-41230000.0,11264000.0,33052000.0,-9168000.0
Change In Income Tax Payable,11121000.0,-41230000.0,11264000.0,33052000.0,-9168000.0
Change In Prepaid Assets,-930000.0,7103000.0,-14652000.0,3193000.0,1205000.0
Change In Inventory,26753000.0,19487000.0,49939000.0,-183676000.0,-176718000.0
Change In Receivables,11248000.0,10497000.0,,,-2202000.0
Changes In Account Receivables,11248000.0,10497000.0,,,-2202000.0
Other Non Cash Items,36622000.0,37638000.0,103587000.0,21473000.0,-7655000.0
Stock Based Compensation,2461000.0,3650000.0,4533000.0,3395000.0,3057000.0
Amortization Of Securities,,,,,-133000.0
Deferred Tax,135000.0,0.0,-2667000.0,0.0,-359000.0
Deferred Income Tax,135000.0,0.0,-2667000.0,0.0,-359000.0
Depreciation Amortization Depletion,90437000.0,88638000.0,86278000.0,83563000.0,81979000.0
Depreciation And Amortization,90437000.0,88638000.0,86278000.0,83563000.0,81979000.0
Amortization Cash Flow,5703000.0,5617000.0,5634000.0,5525000.0,5545000.0
Amortization Of Intangibles,5703000.0,5617000.0,5634000.0,5525000.0,5545000.0
Depreciation,84734000.0,83021000.0,80644000.0,78038000.0,76434000.0
Operating Gains Losses,-11371000.0,-13125000.0,-19772000.0,-9210000.0,-8047000.0
Earnings Losses From Equity Investments,-11371000.0,-13125000.0,-19772000.0,-9210000.0,-7680000.0
Gain Loss On Investment Securities,,,,,-133000.0
Net Income From Continuing Operations,245762000.0,179873000.0,261288000.0,201594000.0,193479000.0
