,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Preferred Shares Number,9000000.0,9000000.0,9000000.0,9000000.0
Ordinary Shares Number,322840330.0,333527369.0,347361480.0,360064475.0
Share Issued,322840330.0,333527369.0,347361480.0,360064475.0
Net Debt,6883000000.0,5739000000.0,6039000000.0,6708000000.0
Total Debt,17606000000.0,16554000000.0,16608000000.0,16951000000.0
Tangible Book Value,250000000.0,1001000000.0,-51000000.0,-255000000.0
Invested Capital,19569000000.0,19067000000.0,18474000000.0,18854000000.0
Working Capital,3278000000.0,3441000000.0,2792000000.0,2083000000.0
Net Tangible Assets,471000000.0,1222000000.0,170000000.0,-34000000.0
Capital Lease Obligations,9115000000.0,8839000000.0,8901000000.0,9110000000.0
Common Stock Equity,11078000000.0,11352000000.0,10767000000.0,11013000000.0
Preferred Stock Equity,221000000.0,221000000.0,221000000.0,221000000.0
Total Capitalization,18355000000.0,17784000000.0,17437000000.0,17205000000.0
Total Equity Gross Minority Interest,11456000000.0,11737000000.0,11119000000.0,11321000000.0
Minority Interest,157000000.0,164000000.0,131000000.0,87000000.0
Stockholders Equity,11299000000.0,11573000000.0,10988000000.0,11234000000.0
Gains Losses Not Affecting Retained Earnings,30000000.0,14000000.0,21000000.0,47000000.0
Retained Earnings,4461000000.0,4591000000.0,3813000000.0,3822000000.0
Additional Paid In Capital,122000000.0,116000000.0,109000000.0,100000000.0
Capital Stock,6686000000.0,6852000000.0,7045000000.0,7265000000.0
Common Stock,6465000000.0,6631000000.0,6824000000.0,7044000000.0
Preferred Stock,221000000.0,221000000.0,221000000.0,221000000.0
Total Liabilities Net Minority Interest,26691000000.0,24877000000.0,24751000000.0,24988000000.0
Total Non Current Liabilities Net Minority Interest,16593000000.0,15681000000.0,15992000000.0,15761000000.0
Other Non Current Liabilities,89000000.0,61000000.0,57000000.0,16000000.0
Employee Benefits,346000000.0,407000000.0,451000000.0,442000000.0
Non Current Pension And Other Postretirement Benefit Plans,237000000.0,289000000.0,329000000.0,320000000.0
Non Current Deferred Liabilities,1279000000.0,1346000000.0,1380000000.0,1539000000.0
Non Current Deferred Taxes Liabilities,1279000000.0,1346000000.0,1380000000.0,1539000000.0
Long Term Debt And Capital Lease Obligation,14770000000.0,13753000000.0,13971000000.0,13662000000.0
Long Term Capital Lease Obligation,7714000000.0,7542000000.0,7522000000.0,7691000000.0
Long Term Debt,7056000000.0,6211000000.0,6449000000.0,5971000000.0
Long Term Provisions,109000000.0,114000000.0,133000000.0,102000000.0
Current Liabilities,10098000000.0,9196000000.0,8759000000.0,9227000000.0
Other Current Liabilities,180000000.0,190000000.0,194000000.0,191000000.0
Current Deferred Liabilities,125000000.0,75000000.0,24000000.0,
Current Deferred Revenue,125000000.0,75000000.0,24000000.0,
Current Debt And Capital Lease Obligation,2836000000.0,2801000000.0,2637000000.0,3289000000.0
Current Capital Lease Obligation,1401000000.0,1297000000.0,1379000000.0,1419000000.0
Current Debt,1435000000.0,1504000000.0,1258000000.0,1870000000.0
Other Current Borrowings,727000000.0,1002000000.0,597000000.0,1852000000.0
Line Of Credit,708000000.0,502000000.0,661000000.0,18000000.0
Current Provisions,110000000.0,111000000.0,92000000.0,119000000.0
Payables And Accrued Expenses,6847000000.0,6019000000.0,5812000000.0,5628000000.0
Payables,6847000000.0,6019000000.0,5812000000.0,5628000000.0
Dueto Related Parties Current,434000000.0,433000000.0,349000000.0,280000000.0
Total Tax Payable,195000000.0,153000000.0,83000000.0,27000000.0
Income Tax Payable,195000000.0,153000000.0,83000000.0,27000000.0
Accounts Payable,6218000000.0,,5380000000.0,5321000000.0
Total Assets,38147000000.0,36614000000.0,35870000000.0,36309000000.0
Total Non Current Assets,24771000000.0,23977000000.0,24319000000.0,24999000000.0
Other Non Current Assets,164000000.0,134000000.0,137000000.0,154000000.0
Defined Pension Benefit,52000000.0,463000000.0,165000000.0,229000000.0
Non Current Deferred Assets,86000000.0,91000000.0,113000000.0,169000000.0
Non Current Deferred Taxes Assets,86000000.0,91000000.0,113000000.0,169000000.0
Non Current Note Receivables,,,0.0,19000000.0
Non Current Accounts Receivable,77000000.0,78000000.0,93000000.0,114000000.0
Investments And Advances,399000000.0,127000000.0,118000000.0,22000000.0
Other Investments,66000000.0,54000000.0,57000000.0,22000000.0
Investmentin Financial Assets,246000000.0,,,
Long Term Equity Investment,87000000.0,73000000.0,61000000.0,
Investment Properties,60000000.0,111000000.0,128000000.0,172000000.0
Goodwill And Other Intangible Assets,10828000000.0,10351000000.0,10818000000.0,11268000000.0
Other Intangible Assets,6505000000.0,6402000000.0,6870000000.0,7322000000.0
Goodwill,4323000000.0,3949000000.0,3948000000.0,3946000000.0
Net PPE,13105000000.0,12622000000.0,12747000000.0,12852000000.0
Accumulated Depreciation,-15253000000.0,-13478000000.0,-11689000000.0,-8983000000.0
Gross PPE,28358000000.0,26100000000.0,24436000000.0,21835000000.0
Leases,4435000000.0,4204000000.0,4044000000.0,3873000000.0
Construction In Progress,479000000.0,361000000.0,415000000.0,389000000.0
Other Properties,11405000000.0,10139000000.0,9168000000.0,7362000000.0
Machinery Furniture Equipment,9955000000.0,9343000000.0,8805000000.0,8207000000.0
Buildings And Improvements,1872000000.0,1834000000.0,1779000000.0,1785000000.0
Land And Improvements,212000000.0,219000000.0,225000000.0,219000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,13376000000.0,12637000000.0,11551000000.0,11310000000.0
Other Current Assets,353000000.0,,,
Assets Held For Sale Current,81000000.0,91000000.0,108000000.0,105000000.0
Prepaid Assets,353000000.0,249000000.0,216000000.0,131000000.0
Inventory,5855000000.0,5166000000.0,5195000000.0,5076000000.0
Inventories Adjustments Allowances,-43000000.0,-67000000.0,-34000000.0,-33000000.0
Other Inventories,5898000000.0,5233000000.0,5229000000.0,5109000000.0
Finished Goods,,,5229000000.0,5109000000.0
Receivables,5153000000.0,4691000000.0,4095000000.0,4808000000.0
Taxes Receivable,0.0,301000000.0,,
Accounts Receivable,5153000000.0,4390000000.0,4095000000.0,4808000000.0
Allowance For Doubtful Accounts Receivable,-237000000.0,-228000000.0,-257000000.0,-220000000.0
Gross Accounts Receivable,5390000000.0,4618000000.0,4352000000.0,5028000000.0
Cash Cash Equivalents And Short Term Investments,1934000000.0,2440000000.0,1937000000.0,1190000000.0
Other Short Term Investments,326000000.0,464000000.0,269000000.0,57000000.0
Cash And Cash Equivalents,1608000000.0,1976000000.0,1668000000.0,1133000000.0
Cash Equivalents,584000000.0,1127000000.0,796000000.0,584000000.0
Cash Financial,1024000000.0,849000000.0,872000000.0,549000000.0
