,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.25,0.191,0.266,0.257
Normalized EBITDA,6143000000.0,5794000000.0,4971000000.0,4812000000.0
Net Income From Continuing Operation Net Minority Interest,1921000000.0,1875000000.0,1108000000.0,1081000000.0
Reconciled Depreciation,2795000000.0,2664000000.0,2596000000.0,2524000000.0
Reconciled Cost Of Revenue,38528000000.0,36436000000.0,36725000000.0,33281000000.0
EBITDA,6143000000.0,5794000000.0,4971000000.0,4812000000.0
EBIT,3348000000.0,3130000000.0,2375000000.0,2288000000.0
Net Interest Income,-683000000.0,-495000000.0,-742000000.0,-747000000.0
Interest Expense,689000000.0,688000000.0,752000000.0,765000000.0
Interest Income,33000000.0,196000000.0,10000000.0,18000000.0
Normalized Income,1921000000.0,1875000000.0,1108000000.0,1081000000.0
Net Income From Continuing And Discontinued Operation,1921000000.0,1875000000.0,1108000000.0,1081000000.0
Total Expenses,53162000000.0,50233000000.0,50349000000.0,45767000000.0
Total Operating Income As Reported,3342000000.0,2937000000.0,2365000000.0,2270000000.0
Diluted Average Shares,331700000.0,341800000.0,358200000.0,368400000.0
Basic Average Shares,328100000.0,339100000.0,355500000.0,365400000.0
Diluted EPS,5.75,5.45,3.06,2.9
Basic EPS,5.82,5.49,3.08,2.93
Diluted NI Availto Com Stockholders,1909000000.0,1863000000.0,1096000000.0,1081000000.0
Net Income Common Stockholders,1909000000.0,1863000000.0,1096000000.0,1081000000.0
Preferred Stock Dividends,12000000.0,12000000.0,12000000.0,
Net Income,1921000000.0,1875000000.0,1108000000.0,1081000000.0
Minority Interests,-73000000.0,-101000000.0,-84000000.0,-50000000.0
Net Income Including Noncontrolling Interests,1994000000.0,1976000000.0,1192000000.0,1131000000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,1994000000.0,1976000000.0,1192000000.0,1131000000.0
Tax Provision,665000000.0,466000000.0,431000000.0,392000000.0
Pretax Income,2659000000.0,2442000000.0,1623000000.0,1523000000.0
Net Non Operating Interest Income Expense,-683000000.0,-495000000.0,-742000000.0,-747000000.0
Total Other Finance Cost,27000000.0,3000000.0,8000000.0,32000000.0
Interest Expense Non Operating,689000000.0,688000000.0,752000000.0,765000000.0
Interest Income Non Operating,33000000.0,196000000.0,10000000.0,18000000.0
Operating Income,3342000000.0,2937000000.0,2365000000.0,2270000000.0
Operating Expense,14634000000.0,13797000000.0,13624000000.0,12486000000.0
Selling General And Administration,14634000000.0,13797000000.0,13624000000.0,12486000000.0
Gross Profit,17976000000.0,16734000000.0,15989000000.0,14756000000.0
Cost Of Revenue,38528000000.0,36436000000.0,36725000000.0,33281000000.0
Total Revenue,56504000000.0,53170000000.0,52714000000.0,48037000000.0
Operating Revenue,56504000000.0,53170000000.0,52714000000.0,48037000000.0
