,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Preferred Shares Number,9000000.0,9000000.0,9000000.0,9000000.0
Ordinary Shares Number,316369658.0,321047815.0,322840330.0,323958369.0
Share Issued,316369658.0,321047815.0,322840330.0,323958369.0
Net Debt,7617000000.0,7202000000.0,6883000000.0,6978000000.0
Total Debt,18023000000.0,17555000000.0,17606000000.0,17461000000.0
Tangible Book Value,487000000.0,759000000.0,250000000.0,160000000.0
Invested Capital,19919000000.0,19836000000.0,19569000000.0,19475000000.0
Working Capital,3498000000.0,3432000000.0,3278000000.0,3305000000.0
Net Tangible Assets,708000000.0,759000000.0,471000000.0,381000000.0
Capital Lease Obligations,9197000000.0,9191000000.0,9115000000.0,9069000000.0
Common Stock Equity,11093000000.0,11472000000.0,11078000000.0,11083000000.0
Preferred Stock Equity,221000000.0,221000000.0,221000000.0,221000000.0
Total Capitalization,18639000000.0,18503000000.0,18355000000.0,18282000000.0
Total Equity Gross Minority Interest,11457000000.0,11630000000.0,11456000000.0,11483000000.0
Minority Interest,143000000.0,158000000.0,157000000.0,179000000.0
Stockholders Equity,11314000000.0,11472000000.0,11299000000.0,11304000000.0
Gains Losses Not Affecting Retained Earnings,36000000.0,33000000.0,30000000.0,17000000.0
Retained Earnings,4574000000.0,4670000000.0,4461000000.0,4443000000.0
Additional Paid In Capital,110000000.0,99000000.0,122000000.0,116000000.0
Capital Stock,6594000000.0,6670000000.0,6686000000.0,6728000000.0
Common Stock,6373000000.0,6670000000.0,6465000000.0,6507000000.0
Preferred Stock,221000000.0,221000000.0,221000000.0,221000000.0
Total Liabilities Net Minority Interest,26639000000.0,26104000000.0,26691000000.0,26212000000.0
Total Non Current Liabilities Net Minority Interest,16903000000.0,16661000000.0,16593000000.0,16503000000.0
Other Non Current Liabilities,538000000.0,515000000.0,89000000.0,83000000.0
Employee Benefits,,,346000000.0,370000000.0
Non Current Pension And Other Postretirement Benefit Plans,,,237000000.0,257000000.0
Non Current Deferred Liabilities,1157000000.0,1221000000.0,1279000000.0,1286000000.0
Non Current Deferred Taxes Liabilities,1157000000.0,1221000000.0,1279000000.0,1286000000.0
Long Term Debt And Capital Lease Obligation,15097000000.0,14813000000.0,14770000000.0,14656000000.0
Long Term Capital Lease Obligation,7772000000.0,7782000000.0,7714000000.0,7678000000.0
Long Term Debt,7325000000.0,7031000000.0,7056000000.0,6978000000.0
Long Term Provisions,111000000.0,112000000.0,109000000.0,108000000.0
Current Liabilities,9736000000.0,9443000000.0,10098000000.0,9709000000.0
Other Current Liabilities,186000000.0,191000000.0,180000000.0,236000000.0
Current Deferred Liabilities,137000000.0,131000000.0,125000000.0,109000000.0
Current Deferred Revenue,137000000.0,131000000.0,125000000.0,109000000.0
Current Debt And Capital Lease Obligation,2926000000.0,2742000000.0,2836000000.0,2805000000.0
Current Capital Lease Obligation,1425000000.0,1409000000.0,1401000000.0,1391000000.0
Current Debt,1501000000.0,1333000000.0,1435000000.0,1414000000.0
Other Current Borrowings,833000000.0,1308000000.0,727000000.0,1398000000.0
Line Of Credit,668000000.0,25000000.0,708000000.0,16000000.0
Current Provisions,139000000.0,101000000.0,110000000.0,145000000.0
Payables And Accrued Expenses,6348000000.0,6278000000.0,6847000000.0,6414000000.0
Payables,6348000000.0,6278000000.0,6847000000.0,6414000000.0
