,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Free Cash Flow,866000000.0,600000000.0,497000000.0,1067000000.0
Repurchase Of Capital Stock,-511000000.0,-383000000.0,-203000000.0,-402000000.0
Repayment Of Debt,-447000000.0,-413000000.0,-459000000.0,-1210000000.0
Issuance Of Debt,640000000.0,18000000.0,404000000.0,1423000000.0
Issuance Of Capital Stock,15000000.0,15000000.0,16000000.0,20000000.0
Capital Expenditure,-423000000.0,-315000000.0,-651000000.0,-432000000.0
End Cash Position,1209000000.0,1162000000.0,1608000000.0,1414000000.0
Beginning Cash Position,1162000000.0,1608000000.0,1414000000.0,1477000000.0
Effect Of Exchange Rate Changes,3000000.0,-1000000.0,1000000.0,-5000000.0
Changes In Cash,44000000.0,-445000000.0,193000000.0,-58000000.0
Financing Cash Flow,-615000000.0,-906000000.0,-539000000.0,-636000000.0
Cash Flow From Continuing Financing Activities,-615000000.0,-906000000.0,-539000000.0,-636000000.0
Net Other Financing Charges,-3000000.0,46000000.0,3000000.0,
Interest Paid Cff,-176000000.0,-189000000.0,-166000000.0,-197000000.0
Cash Dividends Paid,-133000000.0,0.0,-134000000.0,-270000000.0
Net Common Stock Issuance,-496000000.0,-368000000.0,-187000000.0,-382000000.0
Common Stock Payments,-511000000.0,-383000000.0,-203000000.0,-402000000.0
Common Stock Issuance,15000000.0,15000000.0,16000000.0,20000000.0
Net Issuance Payments Of Debt,193000000.0,-395000000.0,-55000000.0,213000000.0
Net Short Term Debt Issuance,43000000.0,-83000000.0,92000000.0,93000000.0
Short Term Debt Payments,-7000000.0,-100000000.0,-8000000.0,-7000000.0
Short Term Debt Issuance,50000000.0,17000000.0,100000000.0,100000000.0
Net Long Term Debt Issuance,150000000.0,-312000000.0,-147000000.0,120000000.0
Long Term Debt Payments,-440000000.0,-313000000.0,-451000000.0,-1203000000.0
Long Term Debt Issuance,590000000.0,1000000.0,304000000.0,1323000000.0
Investing Cash Flow,-630000000.0,-454000000.0,-416000000.0,-921000000.0
Cash Flow From Continuing Investing Activities,-630000000.0,-454000000.0,-416000000.0,-921000000.0
Net Other Investing Changes,26000000.0,83000000.0,197000000.0,-129000000.0
Net Investment Purchase And Sale,-233000000.0,-222000000.0,38000000.0,-360000000.0
Purchase Of Investment,,-222000000.0,,
Net Business Purchase And Sale,0.0,,0.0,0.0
Purchase Of Business,0.0,,0.0,0.0
Net Intangibles Purchase And Sale,-92000000.0,-92000000.0,-111000000.0,-129000000.0
Purchase Of Intangibles,-92000000.0,-92000000.0,-111000000.0,-129000000.0
Net PPE Purchase And Sale,-331000000.0,-223000000.0,-540000000.0,-303000000.0
Purchase Of PPE,-331000000.0,-223000000.0,-540000000.0,-303000000.0
Operating Cash Flow,1289000000.0,915000000.0,1148000000.0,1499000000.0
Cash Flow From Continuing Operating Activities,1289000000.0,915000000.0,1148000000.0,1499000000.0
Taxes Refund Paid,-274000000.0,-237000000.0,-155000000.0,-227000000.0
Interest Received Cfo,5000000.0,6000000.0,7000000.0,3000000.0
Change In Working Capital,118000000.0,-464000000.0,-265000000.0,-159000000.0
Change In Other Working Capital,-31000000.0,32000000.0,14000000.0,-100000000.0
Change In Payables And Accrued Expense,-7000000.0,-523000000.0,,
Change In Payable,-7000000.0,-523000000.0,,
Change In Account Payable,-7000000.0,-523000000.0,,
Change In Prepaid Assets,-18000000.0,-35000000.0,,
Change In Inventory,179000000.0,120000000.0,,
Change In Receivables,-5000000.0,-58000000.0,-279000000.0,-59000000.0
Changes In Account Receivables,-5000000.0,-58000000.0,-279000000.0,-59000000.0
Other Non Cash Items,31000000.0,344000000.0,175000000.0,238000000.0
Asset Impairment Charge,0.0,0.0,26000000.0,6000000.0
Deferred Tax,193000000.0,151000000.0,181000000.0,199000000.0
Deferred Income Tax,193000000.0,151000000.0,181000000.0,199000000.0
Depreciation Amortization Depletion,671000000.0,675000000.0,667000000.0,864000000.0
Depreciation And Amortization,671000000.0,675000000.0,667000000.0,864000000.0
Operating Gains Losses,4000000.0,3000000.0,,
Pension And Employee Benefit Expense,4000000.0,3000000.0,,
Net Income From Continuing Operations,541000000.0,437000000.0,518000000.0,575000000.0
