,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.263,0.257,0.258941,0.257
Normalized EBITDA,1600000000.0,1452000000.0,1523000000.0,1861000000.0
Net Income From Continuing Operation Net Minority Interest,511000000.0,421000000.0,532000000.0,559000000.0
Reconciled Depreciation,671000000.0,675000000.0,667000000.0,864000000.0
Reconciled Cost Of Revenue,9312000000.0,8788000000.0,9587000000.0,11914000000.0
EBITDA,1600000000.0,1452000000.0,1523000000.0,1861000000.0
EBIT,929000000.0,777000000.0,856000000.0,997000000.0
Net Interest Income,-193000000.0,-181000000.0,-172000000.0,-217000000.0
Interest Expense,195000000.0,189000000.0,157000000.0,223000000.0
Interest Income,5000000.0,10000000.0,8000000.0,8000000.0
Normalized Income,511000000.0,421000000.0,532000000.0,559000000.0
Net Income From Continuing And Discontinued Operation,511000000.0,421000000.0,532000000.0,559000000.0
Total Expenses,12811000000.0,12226000000.0,13136000000.0,16397000000.0
Total Operating Income As Reported,927000000.0,769000000.0,871000000.0,991000000.0
Diluted Average Shares,322500000.0,324800000.0,333500000.0,329600000.0
Basic Average Shares,319100000.0,321500000.0,330500000.0,325700000.0
Diluted EPS,1.58,1.29,1.58,1.69
Basic EPS,1.59,1.3,1.6,1.71
Diluted NI Availto Com Stockholders,508000000.0,418000000.0,529000000.0,556000000.0
Net Income Common Stockholders,508000000.0,418000000.0,529000000.0,556000000.0
Preferred Stock Dividends,3000000.0,3000000.0,3000000.0,3000000.0
Net Income,511000000.0,421000000.0,532000000.0,559000000.0
Minority Interests,-30000000.0,-16000000.0,14000000.0,-16000000.0
Net Income Including Noncontrolling Interests,541000000.0,437000000.0,518000000.0,575000000.0
Net Income Continuous Operations,541000000.0,437000000.0,518000000.0,575000000.0
Tax Provision,193000000.0,151000000.0,181000000.0,199000000.0
Pretax Income,734000000.0,588000000.0,699000000.0,774000000.0
Net Non Operating Interest Income Expense,-193000000.0,-181000000.0,-172000000.0,-217000000.0
Total Other Finance Cost,3000000.0,2000000.0,23000000.0,2000000.0
Interest Expense Non Operating,195000000.0,189000000.0,157000000.0,223000000.0
Interest Income Non Operating,5000000.0,10000000.0,8000000.0,8000000.0
Operating Income,927000000.0,769000000.0,871000000.0,991000000.0
Operating Expense,3499000000.0,3438000000.0,3549000000.0,4483000000.0
Selling General And Administration,3499000000.0,3438000000.0,3549000000.0,4483000000.0
Gross Profit,4426000000.0,4207000000.0,4420000000.0,5474000000.0
Cost Of Revenue,9312000000.0,8788000000.0,9587000000.0,11914000000.0
Total Revenue,13738000000.0,12995000000.0,14007000000.0,17388000000.0
Operating Revenue,13738000000.0,12995000000.0,14007000000.0,17388000000.0
