,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,335000.0,442000.0,552000.0
Ordinary Shares Number,236594000.0,242949000.0,250243000.0
Share Issued,236929000.0,243391000.0,250795000.0
Net Debt,2329400000.0,2191000000.0,2191500000.0
Total Debt,4121800000.0,4564000000.0,4702400000.0
Tangible Book Value,564300000.0,244000000.0,-8700000.0
Invested Capital,8947300000.0,9036700000.0,8775200000.0
Working Capital,230800000.0,268600000.0,640400000.0
Net Tangible Assets,564300000.0,244000000.0,-8700000.0
Capital Lease Obligations,1779000000.0,1927200000.0,2069400000.0
Common Stock Equity,6604500000.0,6399900000.0,6142200000.0
Total Capitalization,8929000000.0,8718100000.0,8754200000.0
Total Equity Gross Minority Interest,6618400000.0,6412800000.0,6155400000.0
Minority Interest,13900000.0,12900000.0,13200000.0
Stockholders Equity,6604500000.0,6399900000.0,6142200000.0
Gains Losses Not Affecting Retained Earnings,900000.0,,0.0
Treasury Stock,16200000.0,20500000.0,25100000.0
Retained Earnings,4947200000.0,4721900000.0,4431300000.0
Additional Paid In Capital,23300000.0,24200000.0,22200000.0
Capital Stock,1649300000.0,1674300000.0,1713800000.0
Common Stock,1649300000.0,1674300000.0,1713800000.0
Total Liabilities Net Minority Interest,6782900000.0,7179300000.0,7268500000.0
Total Non Current Liabilities Net Minority Interest,4830400000.0,4981100000.0,5408400000.0
Other Non Current Liabilities,18200000.0,2700000.0,
Employee Benefits,30000000.0,61500000.0,129900000.0
Non Current Pension And Other Postretirement Benefit Plans,30000000.0,61500000.0,129900000.0
Non Current Deferred Liabilities,942200000.0,927700000.0,835900000.0
Non Current Deferred Revenue,,,2000000.0
Non Current Deferred Taxes Liabilities,942200000.0,927700000.0,833900000.0
Long Term Debt And Capital Lease Obligation,3827200000.0,3975700000.0,4423400000.0
Long Term Capital Lease Obligation,1502700000.0,1657500000.0,1811400000.0
Long Term Debt,2324500000.0,2318200000.0,2612000000.0
Long Term Provisions,12800000.0,13500000.0,19200000.0
Current Liabilities,1952500000.0,2198200000.0,1860100000.0
Current Deferred Liabilities,38500000.0,35900000.0,38000000.0
Current Deferred Revenue,38500000.0,35900000.0,38000000.0
Current Debt And Capital Lease Obligation,294600000.0,588300000.0,279000000.0
Current Capital Lease Obligation,276300000.0,269700000.0,258000000.0
Current Debt,18300000.0,318600000.0,21000000.0
Other Current Borrowings,18200000.0,318500000.0,20600000.0
Line Of Credit,100000.0,100000.0,400000.0
Current Provisions,500000.0,1600000.0,2500000.0
Payables And Accrued Expenses,1618900000.0,1572400000.0,1540600000.0
Payables,1618900000.0,1572400000.0,1540600000.0
Total Tax Payable,43600000.0,25900000.0,81700000.0
Accounts Payable,1575300000.0,1546500000.0,1458900000.0
Total Assets,13401300000.0,13592100000.0,13423900000.0
Total Non Current Assets,11218000000.0,11125300000.0,10923400000.0
Other Non Current Assets,59500000.0,50000000.0,61500000.0
Defined Pension Benefit,127900000.0,84800000.0,19700000.0
Non Current Deferred Assets,44800000.0,57100000.0,43500000.0
Non Current Deferred Taxes Assets,44800000.0,57100000.0,43500000.0
Non Current Note Receivables,49300000.0,,
Non Current Accounts Receivable,478300000.0,549600000.0,596300000.0
Investments And Advances,9400000.0,,
Long Term Equity Investment,9400000.0,,
Investmentsin Joint Venturesat Cost,9400000.0,,
Investment Properties,14500000.0,33400000.0,40200000.0
Goodwill And Other Intangible Assets,6040200000.0,6155900000.0,6150900000.0
Other Intangible Assets,2739000000.0,2854700000.0,2850200000.0
Goodwill,3301200000.0,3301200000.0,3300700000.0
Net PPE,4452800000.0,4194500000.0,4011300000.0
Accumulated Depreciation,-2017200000.0,-1785400000.0,-1641500000.0
Gross PPE,6470000000.0,5979900000.0,5652800000.0
Leases,1014000000.0,959300000.0,903000000.0
Other Properties,2143700000.0,1852500000.0,1676400000.0
Machinery Furniture Equipment,28900000.0,29500000.0,30900000.0
Buildings And Improvements,2725500000.0,2603900000.0,2555300000.0
Land And Improvements,557900000.0,534700000.0,487200000.0
Properties,0.0,0.0,0.0
Current Assets,2183300000.0,2466800000.0,2500500000.0
Prepaid Assets,54100000.0,46600000.0,45000000.0
Inventory,1331100000.0,1169000000.0,1268200000.0
Finished Goods,1331100000.0,1169000000.0,1268200000.0
Receivables,784700000.0,805400000.0,745800000.0
Other Receivables,94800000.0,92800000.0,88000000.0
Taxes Receivable,9600000.0,33400000.0,16000000.0
Accounts Receivable,680300000.0,679200000.0,641800000.0
Cash Cash Equivalents And Short Term Investments,13400000.0,445800000.0,441500000.0
Cash And Cash Equivalents,13400000.0,445800000.0,441500000.0
