,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,840300000.0,984000000.0,963400000.0
Repurchase Of Capital Stock,-470000000.0,-456300000.0,-223400000.0
Repayment Of Debt,-884800000.0,-284900000.0,-681600000.0
Issuance Of Debt,330500000.0,21900000.0,413100000.0
Issuance Of Capital Stock,21000000.0,12600000.0,7200000.0
Capital Expenditure,-621100000.0,-599300000.0,-510700000.0
End Cash Position,13400000.0,445800000.0,441500000.0
Beginning Cash Position,445800000.0,441500000.0,273400000.0
Changes In Cash,-432400000.0,4300000.0,168100000.0
Financing Cash Flow,-1416000000.0,-1107400000.0,-861900000.0
Cash Flow From Continuing Financing Activities,-1416000000.0,-1107400000.0,-861900000.0
Net Other Financing Charges,100000.0,700000.0,1300000.0
Interest Paid Cff,-151200000.0,-157700000.0,-158200000.0
Proceeds From Stock Option Exercised,-3700000.0,-3300000.0,
Cash Dividends Paid,-257900000.0,-240100000.0,-220700000.0
Common Stock Dividend Paid,-257900000.0,-240100000.0,-220700000.0
Net Common Stock Issuance,-449000000.0,-443700000.0,-216200000.0
Common Stock Payments,-470000000.0,-456300000.0,-223400000.0
Common Stock Issuance,21000000.0,12600000.0,7200000.0
Net Issuance Payments Of Debt,-554300000.0,-263300000.0,-268100000.0
Net Short Term Debt Issuance,,-300000.0,400000.0
Net Long Term Debt Issuance,-554300000.0,-263000000.0,-268500000.0
Long Term Debt Payments,-884800000.0,-284900000.0,-681600000.0
Long Term Debt Issuance,330500000.0,21900000.0,413100000.0
Investing Cash Flow,-477800000.0,-471600000.0,-444100000.0
Cash Flow From Continuing Investing Activities,-477800000.0,-471600000.0,-444100000.0
Net Other Investing Changes,81100000.0,90700000.0,86400000.0
Interest Received Cfi,14900000.0,15700000.0,15900000.0
Net Business Purchase And Sale,-200000.0,-1100000.0,-48100000.0
Sale Of Business,,0.0,3500000.0
Purchase Of Business,-200000.0,-1100000.0,-51600000.0
Net Intangibles Purchase And Sale,-98200000.0,-79300000.0,-47400000.0
Purchase Of Intangibles,-98200000.0,-79300000.0,-47400000.0
Net PPE Purchase And Sale,-475400000.0,-497600000.0,-450900000.0
Sale Of PPE,47500000.0,22400000.0,12400000.0
Purchase Of PPE,-522900000.0,-520000000.0,-463300000.0
Operating Cash Flow,1461400000.0,1583300000.0,1474100000.0
Cash Flow From Continuing Operating Activities,1461400000.0,1583300000.0,1474100000.0
Taxes Refund Paid,-257600000.0,-328100000.0,-194300000.0
Change In Working Capital,-115200000.0,162200000.0,-34500000.0
Other Non Cash Items,117600000.0,133500000.0,136800000.0
Stock Based Compensation,8600000.0,10600000.0,9500000.0
Unrealized Gain Loss On Investment Securities,,,0.0
Asset Impairment Charge,70100000.0,0.0,3000000.0
Depreciation Amortization Depletion,503300000.0,478300000.0,462500000.0
Depreciation And Amortization,503300000.0,478300000.0,462500000.0
Amortization Cash Flow,81900000.0,78200000.0,75400000.0
Amortization Of Intangibles,81900000.0,78200000.0,75400000.0
Depreciation,421400000.0,400100000.0,387100000.0
Operating Gains Losses,-19000000.0,6100000.0,6800000.0
Pension And Employee Benefit Expense,6300000.0,13500000.0,3800000.0
Gain Loss On Investment Securities,,-300000.0,
Gain Loss On Sale Of PPE,,-7100000.0,-4500000.0
Gain Loss On Sale Of Business,,0.0,7500000.0
Net Income From Continuing Operations,1153600000.0,1120700000.0,1084300000.0
