,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,-11827200.0,0.0,-1995000.0
Tax Rate For Calcs,0.264,0.263,0.266
Normalized EBITDA,1834500000.0,1744800000.0,1699700000.0
Total Unusual Items,-44800000.0,0.0,-7500000.0
Total Unusual Items Excluding Goodwill,-44800000.0,0.0,-7500000.0
Net Income From Continuing Operation Net Minority Interest,846100000.0,823000000.0,795200000.0
Reconciled Depreciation,503300000.0,478300000.0,462500000.0
Reconciled Cost Of Revenue,15105600000.0,14628200000.0,14415700000.0
EBITDA,1789700000.0,1744800000.0,1692200000.0
EBIT,1286400000.0,1266500000.0,1229700000.0
Net Interest Income,-117600000.0,-133500000.0,-136800000.0
Interest Expense,132800000.0,145800000.0,145400000.0
Interest Income,17200000.0,14300000.0,11200000.0
Normalized Income,879072800.0,823000000.0,800705000.0
Net Income From Continuing And Discontinued Operation,846100000.0,823000000.0,795200000.0
Total Expenses,17572900000.0,17028800000.0,16768900000.0
Rent Expense Supplemental,,302300000.0,296200000.0
Diluted Average Shares,240800000.0,247300000.0,253300000.0
Basic Average Shares,239900000.0,246200000.0,252100000.0
Diluted EPS,3.51,3.33,3.14
Basic EPS,3.53,3.34,3.15
Diluted NI Availto Com Stockholders,846100000.0,823000000.0,795200000.0
Net Income Common Stockholders,846100000.0,823000000.0,795200000.0
Net Income,846100000.0,823000000.0,795200000.0
Minority Interests,-3400000.0,-2700000.0,-1200000.0
Net Income Including Noncontrolling Interests,849500000.0,825700000.0,796400000.0
Net Income Continuous Operations,849500000.0,825700000.0,796400000.0
Tax Provision,304100000.0,295000000.0,287900000.0
Pretax Income,1153600000.0,1120700000.0,1084300000.0
Other Income Expense,-44800000.0,,-7500000.0
Special Income Charges,-44800000.0,0.0,-7500000.0
Gain On Sale Of Ppe,25300000.0,,
Gain On Sale Of Business,,0.0,-7500000.0
Write Off,70100000.0,,
Restructuring And Mergern Acquisition,,,0.0
Net Non Operating Interest Income Expense,-117600000.0,-133500000.0,-136800000.0
Total Other Finance Cost,2000000.0,2000000.0,2600000.0
Interest Expense Non Operating,132800000.0,145800000.0,145400000.0
Interest Income Non Operating,17200000.0,14300000.0,11200000.0
Operating Income,1316000000.0,1254200000.0,1228600000.0
Operating Expense,2467300000.0,2400600000.0,2353200000.0
Other Operating Expenses,1964000000.0,532800000.0,542700000.0
Depreciation Amortization Depletion Income Statement,503300000.0,478300000.0,462500000.0
Depreciation And Amortization In Income Statement,503300000.0,478300000.0,462500000.0
Amortization,81900000.0,78200000.0,75400000.0
Amortization Of Intangibles Income Statement,81900000.0,78200000.0,75400000.0
Depreciation Income Statement,421400000.0,400100000.0,387100000.0
Selling General And Administration,,1389500000.0,1348000000.0
General And Administrative Expense,,1389500000.0,1348000000.0
Rent And Landing Fees,,302300000.0,296200000.0
Salaries And Wages,,1087200000.0,1051800000.0
Gross Profit,3783300000.0,3654800000.0,3581800000.0
Cost Of Revenue,15105600000.0,14628200000.0,14415700000.0
Total Revenue,18888900000.0,18283000000.0,17997500000.0
Operating Revenue,18888900000.0,18283000000.0,17997500000.0
