,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Treasury Shares Number,296000.0,,335000.0,335000.0
Ordinary Shares Number,229729000.0,232759000.0,235142000.0,236594000.0
Share Issued,229729000.0,232759000.0,235477000.0,236929000.0
Net Debt,2598000000.0,2559800000.0,2508700000.0,2329400000.0
Total Debt,4285000000.0,4325100000.0,4242800000.0,4121800000.0
Tangible Book Value,669700000.0,604500000.0,643600000.0,564300000.0
Invested Capital,9337200000.0,9273600000.0,9197600000.0,8947300000.0
Working Capital,381700000.0,420300000.0,393500000.0,230800000.0
Net Tangible Assets,669700000.0,604500000.0,643600000.0,564300000.0
Capital Lease Obligations,1662300000.0,1699400000.0,1732600000.0,1779000000.0
Common Stock Equity,6714500000.0,6647900000.0,6687400000.0,6604500000.0
Total Capitalization,9320900000.0,9250800000.0,9159800000.0,8929000000.0
Total Equity Gross Minority Interest,6729600000.0,6662700000.0,6702200000.0,6618400000.0
Minority Interest,15100000.0,14800000.0,14800000.0,13900000.0
Stockholders Equity,6714500000.0,6647900000.0,6687400000.0,6604500000.0
Gains Losses Not Affecting Retained Earnings,-1200000.0,-1300000.0,-3200000.0,900000.0
Other Equity Adjustments,-1200000.0,,,
Treasury Stock,17900000.0,10300000.0,16200000.0,16200000.0
Retained Earnings,5104300000.0,5014500000.0,5038300000.0,4947200000.0
Additional Paid In Capital,21500000.0,19300000.0,25400000.0,23300000.0
Capital Stock,1607800000.0,1625700000.0,1643100000.0,1649300000.0
Common Stock,1607800000.0,1625700000.0,1643100000.0,1649300000.0
Total Liabilities Net Minority Interest,6925100000.0,6952800000.0,6973600000.0,6782900000.0
Total Non Current Liabilities Net Minority Interest,4989800000.0,5050000000.0,4944500000.0,4830400000.0
Other Non Current Liabilities,25200000.0,22600000.0,17000000.0,18200000.0
Employee Benefits,30200000.0,31600000.0,29800000.0,30000000.0
Non Current Pension And Other Postretirement Benefit Plans,30200000.0,31600000.0,29800000.0,30000000.0
Non Current Deferred Liabilities,926800000.0,953300000.0,953500000.0,942200000.0
Non Current Deferred Taxes Liabilities,926800000.0,953300000.0,953500000.0,942200000.0
Long Term Debt And Capital Lease Obligation,3995100000.0,4029900000.0,3931500000.0,3827200000.0
Long Term Capital Lease Obligation,1388700000.0,1427000000.0,1459100000.0,1502700000.0
Long Term Debt,2606400000.0,2602900000.0,2472400000.0,2324500000.0
Long Term Provisions,12500000.0,12600000.0,12700000.0,12800000.0
Current Liabilities,1935300000.0,1902800000.0,2029100000.0,1952500000.0
Current Deferred Liabilities,42400000.0,49500000.0,49600000.0,38500000.0
Current Deferred Revenue,42400000.0,49500000.0,49600000.0,38500000.0
Current Debt And Capital Lease Obligation,289900000.0,295200000.0,311300000.0,294600000.0
Current Capital Lease Obligation,273600000.0,272400000.0,273500000.0,276300000.0
Current Debt,16300000.0,22800000.0,37800000.0,18300000.0
Other Current Borrowings,15900000.0,16600000.0,17700000.0,18200000.0
Line Of Credit,400000.0,6200000.0,20100000.0,100000.0
Current Provisions,300000.0,300000.0,4700000.0,500000.0
Payables And Accrued Expenses,1602700000.0,1557800000.0,1663500000.0,1618900000.0
Payables,1602700000.0,1557800000.0,1663500000.0,1618900000.0
Total Tax Payable,57200000.0,55400000.0,47400000.0,43600000.0
Accounts Payable,1545500000.0,1502400000.0,1616100000.0,1575300000.0
Total Assets,13654700000.0,13615500000.0,13675800000.0,13401300000.0
Total Non Current Assets,11337700000.0,11292400000.0,11253200000.0,11218000000.0
Other Non Current Assets,67300000.0,57000000.0,57700000.0,59500000.0
Defined Pension Benefit,152900000.0,144800000.0,155000000.0,127900000.0
Non Current Deferred Assets,44800000.0,44800000.0,44700000.0,44800000.0
Non Current Deferred Taxes Assets,44800000.0,44800000.0,44700000.0,44800000.0
Non Current Note Receivables,,,,49300000.0
Non Current Accounts Receivable,426300000.0,448600000.0,459800000.0,478300000.0
Investments And Advances,,,,9400000.0
Long Term Equity Investment,,,,9400000.0
Investmentsin Joint Venturesat Cost,,,,9400000.0
Investment Properties,22400000.0,15400000.0,13300000.0,14500000.0
Goodwill And Other Intangible Assets,6044800000.0,6043400000.0,6043800000.0,6040200000.0
Other Intangible Assets,2739100000.0,2737700000.0,2738100000.0,2739000000.0
Goodwill,3305700000.0,3305700000.0,3305700000.0,3301200000.0
Net PPE,4579200000.0,4538400000.0,4478900000.0,4452800000.0
Accumulated Depreciation,,,,-2017200000.0
Gross PPE,4579200000.0,4538400000.0,4478900000.0,6470000000.0
Leases,,,,1014000000.0
Other Properties,4579200000.0,4538400000.0,4478900000.0,2143700000.0
Machinery Furniture Equipment,,,,28900000.0
Buildings And Improvements,,,,2725500000.0
Land And Improvements,,,,557900000.0
Properties,,,,0.0
Current Assets,2317000000.0,2323100000.0,2422600000.0,2183300000.0
Prepaid Assets,58100000.0,72300000.0,51600000.0,54100000.0
Inventory,1395000000.0,1387900000.0,1496600000.0,1331100000.0
Finished Goods,,,,1331100000.0
Receivables,839200000.0,797000000.0,872900000.0,784700000.0
Other Receivables,94500000.0,94400000.0,93900000.0,94800000.0
Taxes Receivable,8800000.0,13800000.0,10700000.0,9600000.0
Accounts Receivable,735900000.0,688800000.0,768300000.0,680300000.0
Cash Cash Equivalents And Short Term Investments,24700000.0,65900000.0,1500000.0,13400000.0
Cash And Cash Equivalents,24700000.0,65900000.0,1500000.0,13400000.0
