,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Free Cash Flow,381200000.0,261100000.0,80900000.0,291300000.0
Repurchase Of Capital Stock,-223000000.0,-182900000.0,-108700000.0,-141400000.0
Repayment Of Debt,-91800000.0,-249200000.0,-70400000.0,-46000000.0
Issuance Of Debt,1700000.0,312100000.0,145400000.0,-49200000.0
Issuance Of Capital Stock,2600000.0,300000.0,4100000.0,800000.0
Capital Expenditure,-164700000.0,-159200000.0,-129300000.0,-175300000.0
End Cash Position,24700000.0,65900000.0,1500000.0,13400000.0
Beginning Cash Position,65900000.0,1500000.0,13400000.0,0.0
Changes In Cash,-41200000.0,64400000.0,-11900000.0,13400000.0
Financing Cash Flow,-448600000.0,-223600000.0,-128000000.0,-317200000.0
Cash Flow From Continuing Financing Activities,-448600000.0,-223600000.0,-128000000.0,-317200000.0
Net Other Financing Charges,-1300000.0,1400000.0,1000000.0,-400000.0
Interest Paid Cff,-60800000.0,-20700000.0,-54600000.0,-15700000.0
Proceeds From Stock Option Exercised,0.0,0.0,,0.0
Cash Dividends Paid,-70200000.0,-70700000.0,-64800000.0,-65300000.0
Common Stock Dividend Paid,-70200000.0,-70700000.0,-64800000.0,-65300000.0
Net Common Stock Issuance,-220400000.0,-182600000.0,-104600000.0,-140600000.0
Common Stock Payments,-223000000.0,-182900000.0,-108700000.0,-141400000.0
Common Stock Issuance,2600000.0,300000.0,4100000.0,800000.0
Net Issuance Payments Of Debt,-95900000.0,49000000.0,95000000.0,-95200000.0
Net Short Term Debt Issuance,-5800000.0,-13900000.0,20000000.0,
Net Long Term Debt Issuance,-90100000.0,62900000.0,75000000.0,-24400000.0
Long Term Debt Payments,-91800000.0,-249200000.0,-70400000.0,-46000000.0
Long Term Debt Issuance,1700000.0,312100000.0,145400000.0,21600000.0
Investing Cash Flow,-138500000.0,-132300000.0,-94100000.0,-136000000.0
Cash Flow From Continuing Investing Activities,-138500000.0,-132300000.0,-94100000.0,-136000000.0
Net Other Investing Changes,21800000.0,23300000.0,26300000.0,17400000.0
Interest Received Cfi,4700000.0,3600000.0,3500000.0,2700000.0
Net Business Purchase And Sale,-1200000.0,0.0,-200000.0,0.0
Purchase Of Business,-1200000.0,0.0,-200000.0,0.0
Net Intangibles Purchase And Sale,-26700000.0,-19100000.0,-21400000.0,-13300000.0
Purchase Of Intangibles,-26700000.0,-19100000.0,-21400000.0,-13300000.0
Net PPE Purchase And Sale,-137100000.0,-140100000.0,-102300000.0,-142800000.0
Sale Of PPE,900000.0,0.0,5600000.0,19200000.0
Purchase Of PPE,-138000000.0,-140100000.0,-107900000.0,-162000000.0
Operating Cash Flow,545900000.0,420300000.0,210200000.0,466600000.0
Cash Flow From Continuing Operating Activities,545900000.0,420300000.0,210200000.0,466600000.0
Taxes Refund Paid,-92100000.0,-73400000.0,-76800000.0,-60200000.0
Change In Working Capital,18000000.0,39100000.0,-179300000.0,92300000.0
Other Non Cash Items,37100000.0,28300000.0,27100000.0,25300000.0
Stock Based Compensation,3500000.0,2800000.0,2600000.0,1600000.0
Depreciation Amortization Depletion,159500000.0,120600000.0,120100000.0,119800000.0
Depreciation And Amortization,159500000.0,120600000.0,120100000.0,119800000.0
Amortization Cash Flow,,,,19400000.0
Amortization Of Intangibles,,,,19400000.0
Depreciation,,,,100400000.0
Operating Gains Losses,4200000.0,4500000.0,1700000.0,-8500000.0
Pension And Employee Benefit Expense,4400000.0,4200000.0,6100000.0,2700000.0
Net Income From Continuing Operations,415700000.0,298400000.0,314800000.0,226200000.0
