,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Tax Effect Of Unusual Items,33200.0,-80100.0,1170400.0,0.0
Tax Rate For Calcs,0.166,0.267,0.266,0.2542
Normalized EBITDA,612100000.0,447600000.0,457600000.0,375700000.0
Total Unusual Items,200000.0,-300000.0,4400000.0,
Total Unusual Items Excluding Goodwill,200000.0,-300000.0,4400000.0,
Net Income From Continuing Operation Net Minority Interest,345000000.0,218400000.0,229800000.0,168000000.0
Reconciled Depreciation,159500000.0,120600000.0,120100000.0,119800000.0
Reconciled Cost Of Revenue,5164800000.0,3639200000.0,3755100000.0,3526300000.0
EBITDA,612300000.0,447300000.0,462000000.0,375700000.0
EBIT,452800000.0,326700000.0,341900000.0,255900000.0
Net Interest Income,-37100000.0,-28300000.0,-27100000.0,-25300000.0
Interest Expense,37100000.0,28300000.0,27100000.0,29700000.0
Interest Income,,,,4800000.0
Normalized Income,344833200.0,218619900.0,226570400.0,168000000.0
Net Income From Continuing And Discontinued Operation,345000000.0,218400000.0,229800000.0,168000000.0
Total Expenses,5974900000.0,4227500000.0,4333400000.0,4136300000.0
Diluted Average Shares,232500000.0,234800000.0,236300000.0,239300000.0
Basic Average Shares,231800000.0,234000000.0,235400000.0,238400000.0
Diluted EPS,1.49,0.93,0.97,0.7
Basic EPS,1.49,0.94,0.97,0.71
Diluted NI Availto Com Stockholders,345000000.0,218400000.0,229800000.0,168000000.0
Net Income Common Stockholders,345000000.0,218400000.0,229800000.0,168000000.0
Net Income,345000000.0,218400000.0,229800000.0,168000000.0
Minority Interests,-1700000.0,-400000.0,-1300000.0,-700000.0
Net Income Including Noncontrolling Interests,346700000.0,218800000.0,231100000.0,168700000.0
Net Income Continuous Operations,346700000.0,218800000.0,231100000.0,168700000.0
Tax Provision,69000000.0,79600000.0,83700000.0,57500000.0
Pretax Income,415700000.0,298400000.0,314800000.0,226200000.0
Other Income Expense,200000.0,-300000.0,4400000.0,
Special Income Charges,200000.0,-300000.0,4400000.0,
Gain On Sale Of Ppe,200000.0,-300000.0,4400000.0,
Net Non Operating Interest Income Expense,-37100000.0,-28300000.0,-27100000.0,-25300000.0
Total Other Finance Cost,,,,400000.0
Interest Expense Non Operating,37100000.0,28300000.0,27100000.0,29700000.0
Interest Income Non Operating,,,,4800000.0
Operating Income,452600000.0,327000000.0,337500000.0,296300000.0
Operating Expense,810100000.0,588300000.0,578300000.0,610000000.0
Other Operating Expenses,650600000.0,467700000.0,458200000.0,1539400000.0
Depreciation Amortization Depletion Income Statement,159500000.0,120600000.0,120100000.0,119800000.0
Depreciation And Amortization In Income Statement,159500000.0,120600000.0,120100000.0,119800000.0
Amortization,,,,19400000.0
Amortization Of Intangibles Income Statement,,,,19400000.0
Depreciation Income Statement,,,,100400000.0
Gross Profit,1262700000.0,915300000.0,915800000.0,906300000.0
Cost Of Revenue,5164800000.0,3639200000.0,3755100000.0,3526300000.0
Total Revenue,6427500000.0,4554500000.0,4670900000.0,4432600000.0
Operating Revenue,6427500000.0,4554500000.0,4670900000.0,4432600000.0
