,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31
Ordinary Shares Number,2692000000.0,2694000000.0,2700000000.0,2701000000.0,2722000000.0
Share Issued,2692000000.0,2694000000.0,2700000000.0,2701000000.0,2722000000.0
Net Debt,30361000000.0,33231000000.0,30327000000.0,34617000000.0,31828000000.0
Total Debt,64801000000.0,63867000000.0,58923000000.0,65380000000.0,65309000000.0
Tangible Book Value,51288000000.0,44099000000.0,48519000000.0,44116000000.0,48905000000.0
Invested Capital,123805000000.0,116211000000.0,115905000000.0,118457000000.0,123320000000.0
Working Capital,-17188000000.0,-16994000000.0,-16543000000.0,-13728000000.0,-15735000000.0
Net Tangible Assets,51288000000.0,44099000000.0,48519000000.0,44116000000.0,48905000000.0
Capital Lease Obligations,20552000000.0,20061000000.0,19711000000.0,19176000000.0,19558000000.0
Common Stock Equity,79556000000.0,72405000000.0,76693000000.0,72253000000.0,77569000000.0
Total Capitalization,116362000000.0,110525000000.0,111342000000.0,106188000000.0,107370000000.0
Total Equity Gross Minority Interest,85559000000.0,79465000000.0,83991000000.0,80383000000.0,85847000000.0
Minority Interest,6003000000.0,7060000000.0,7298000000.0,8130000000.0,8278000000.0
Stockholders Equity,79556000000.0,72405000000.0,76693000000.0,72253000000.0,77569000000.0
Gains Losses Not Affecting Retained Earnings,-10818000000.0,-11147000000.0,-11680000000.0,-10780000000.0,-9894000000.0
Other Equity Adjustments,-10818000000.0,-11147000000.0,-11680000000.0,-10780000000.0,-9894000000.0
Retained Earnings,85470000000.0,78035000000.0,83135000000.0,77946000000.0,82519000000.0
Additional Paid In Capital,4635000000.0,5248000000.0,4969000000.0,4817000000.0,4672000000.0
Capital Stock,269000000.0,269000000.0,269000000.0,270000000.0,272000000.0
Common Stock,269000000.0,269000000.0,269000000.0,270000000.0,272000000.0
Total Liabilities Net Minority Interest,169562000000.0,165588000000.0,159466000000.0,167273000000.0,161352000000.0
Total Non Current Liabilities Net Minority Interest,70342000000.0,70083000000.0,67008000000.0,65865000000.0,61453000000.0
Other Non Current Liabilities,15109000000.0,13999000000.0,14688000000.0,,
Non Current Deferred Liabilities,,,14688000000.0,14760000000.0,14092000000.0
Non Current Deferred Taxes Liabilities,,,14688000000.0,14760000000.0,14092000000.0
Long Term Debt And Capital Lease Obligation,55233000000.0,56084000000.0,52320000000.0,51105000000.0,47361000000.0
Long Term Capital Lease Obligation,18427000000.0,17964000000.0,17671000000.0,17170000000.0,17560000000.0
Long Term Debt,36806000000.0,38120000000.0,34649000000.0,33935000000.0,29801000000.0
Current Liabilities,99220000000.0,95505000000.0,92458000000.0,101408000000.0,99899000000.0
Current Deferred Liabilities,,,2488000000.0,,
Current Deferred Revenue,,,2488000000.0,,
Current Debt And Capital Lease Obligation,9568000000.0,7783000000.0,6603000000.0,14275000000.0,17948000000.0
Current Capital Lease Obligation,2125000000.0,2097000000.0,2040000000.0,2006000000.0,1998000000.0
Current Debt,7443000000.0,5686000000.0,4563000000.0,12269000000.0,15950000000.0
Other Current Borrowings,7443000000.0,5686000000.0,4563000000.0,12269000000.0,15950000000.0
Payables And Accrued Expenses,89652000000.0,87722000000.0,85855000000.0,87133000000.0,81951000000.0
Current Accrued Expenses,29239000000.0,27527000000.0,31126000000.0,27443000000.0,23843000000.0
Payables,60413000000.0,60195000000.0,54729000000.0,59690000000.0,58108000000.0
Dividends Payable,3067000000.0,4602000000.0,,1527000000.0,3049000000.0
Total Tax Payable,770000000.0,1325000000.0,727000000.0,900000000.0,868000000.0
Income Tax Payable,770000000.0,1325000000.0,727000000.0,900000000.0,868000000.0
Accounts Payable,56576000000.0,54268000000.0,54002000000.0,57263000000.0,54191000000.0
Total Assets,255121000000.0,245053000000.0,243457000000.0,247656000000.0,247199000000.0
Total Non Current Assets,173089000000.0,166542000000.0,167542000000.0,159976000000.0,163035000000.0
Other Non Current Assets,20826000000.0,17098000000.0,20134000000.0,16295000000.0,19979000000.0
Goodwill And Other Intangible Assets,28268000000.0,28306000000.0,28174000000.0,28137000000.0,28664000000.0
Goodwill,28268000000.0,28306000000.0,28174000000.0,28137000000.0,28664000000.0
Net PPE,123995000000.0,121138000000.0,119234000000.0,115544000000.0,114392000000.0
Accumulated Depreciation,,,-101610000000.0,,
Gross PPE,123995000000.0,121138000000.0,119234000000.0,115544000000.0,114392000000.0
Construction In Progress,,,10802000000.0,,
Other Properties,123995000000.0,121138000000.0,119234000000.0,115544000000.0,114392000000.0
Machinery Furniture Equipment,,,67697000000.0,,
Buildings And Improvements,,,104554000000.0,,
Land And Improvements,,,19317000000.0,,
Properties,,,0.0,,
Current Assets,82032000000.0,78511000000.0,75915000000.0,87680000000.0,84164000000.0
Other Current Assets,3531000000.0,3357000000.0,2521000000.0,3169000000.0,2798000000.0
Prepaid Assets,,,2521000000.0,3169000000.0,2798000000.0
Inventory,56722000000.0,56932000000.0,56576000000.0,64706000000.0,59921000000.0
Receivables,7891000000.0,7647000000.0,7933000000.0,8218000000.0,7522000000.0
Accounts Receivable,7891000000.0,7647000000.0,7933000000.0,8218000000.0,7522000000.0
Cash Cash Equivalents And Short Term Investments,13888000000.0,10575000000.0,8885000000.0,11587000000.0,13923000000.0
Cash And Cash Equivalents,13888000000.0,10575000000.0,8885000000.0,11587000000.0,13923000000.0
