,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31
Free Cash Flow,8781000000.0,204000000.0,8607000000.0,1889000000.0,9045000000.0
Repurchase Of Capital Stock,-485000000.0,-686000000.0,-1212000000.0,-2961000000.0,-3339000000.0
Repayment Of Debt,-2279000000.0,-1784000000.0,-1250000000.0,0.0,-513000000.0
Issuance Of Debt,0.0,4967000000.0,72000000.0,,
Capital Expenditure,-4787000000.0,-4429000000.0,-4796000000.0,-4569000000.0,-3953000000.0
End Cash Position,13971000000.0,10708000000.0,9101000000.0,11655000000.0,13990000000.0
Other Cash Adjustment Outside Changein Cash,,,0.0,0.0,0.0
Beginning Cash Position,10708000000.0,8841000000.0,11655000000.0,13990000000.0,11882000000.0
Effect Of Exchange Rate Changes,-7000000.0,154000000.0,258000000.0,-231000000.0,-149000000.0
Changes In Cash,3270000000.0,1713000000.0,-2812000000.0,-2104000000.0,2257000000.0
Financing Cash Flow,-5249000000.0,1940000000.0,-11458000000.0,-4181000000.0,-6715000000.0
Cash Flow From Continuing Financing Activities,-5249000000.0,1940000000.0,-11458000000.0,-4181000000.0,-6715000000.0
Net Other Financing Charges,-3789000000.0,-362000000.0,-1069000000.0,-891000000.0,-560000000.0
Cash Dividends Paid,-1534000000.0,-1538000000.0,-1514000000.0,-1519000000.0,-1538000000.0
Common Stock Dividend Paid,-1534000000.0,-1538000000.0,-1514000000.0,-1519000000.0,-1538000000.0
Net Common Stock Issuance,-485000000.0,-686000000.0,-1212000000.0,-2961000000.0,-3339000000.0
Common Stock Payments,-485000000.0,-686000000.0,-1212000000.0,-2961000000.0,-3339000000.0
Net Issuance Payments Of Debt,559000000.0,4526000000.0,-7663000000.0,1190000000.0,-1278000000.0
Net Short Term Debt Issuance,2838000000.0,1343000000.0,-6485000000.0,-3779000000.0,-765000000.0
Net Long Term Debt Issuance,-2279000000.0,3183000000.0,-1178000000.0,4969000000.0,-513000000.0
Long Term Debt Payments,-2279000000.0,-1784000000.0,-1250000000.0,0.0,-513000000.0
Long Term Debt Issuance,0.0,4967000000.0,72000000.0,,
Investing Cash Flow,-5049000000.0,-4860000000.0,-4757000000.0,-4381000000.0,-4026000000.0
Cash Flow From Continuing Investing Activities,-5049000000.0,-4860000000.0,-4757000000.0,-4381000000.0,-4026000000.0
Net Other Investing Changes,-426000000.0,-526000000.0,5000000.0,248000000.0,-92000000.0
Net Business Purchase And Sale,78000000.0,48000000.0,-10000000.0,-114000000.0,-18000000.0
Sale Of Business,87000000.0,48000000.0,0.0,0.0,0.0
Purchase Of Business,-9000000.0,0.0,-10000000.0,-114000000.0,-18000000.0
Net PPE Purchase And Sale,-4701000000.0,-4382000000.0,-4752000000.0,-4515000000.0,-3916000000.0
Sale Of PPE,86000000.0,47000000.0,44000000.0,54000000.0,37000000.0
Purchase Of PPE,-4787000000.0,-4429000000.0,-4796000000.0,-4569000000.0,-3953000000.0
Operating Cash Flow,13568000000.0,4633000000.0,13403000000.0,6458000000.0,12998000000.0
Cash Flow From Continuing Operating Activities,13568000000.0,4633000000.0,13403000000.0,6458000000.0,12998000000.0
Change In Working Capital,4684000000.0,-2694000000.0,7292000000.0,1253000000.0,4670000000.0
Change In Payables And Accrued Expense,4569000000.0,-2916000000.0,-1487000000.0,7464000000.0,3664000000.0
Change In Accrued Expense,3079000000.0,-4447000000.0,3039000000.0,3793000000.0,2510000000.0
Change In Payable,1490000000.0,1531000000.0,-4526000000.0,3671000000.0,1154000000.0
Change In Account Payable,2028000000.0,971000000.0,-4348000000.0,3636000000.0,1187000000.0
Change In Tax Payable,-538000000.0,560000000.0,-178000000.0,35000000.0,-33000000.0
Change In Income Tax Payable,-538000000.0,560000000.0,-178000000.0,35000000.0,-33000000.0
Change In Inventory,376000000.0,-154000000.0,8480000000.0,-5278000000.0,969000000.0
Change In Receivables,-261000000.0,376000000.0,299000000.0,-933000000.0,37000000.0
Other Non Cash Items,600000000.0,249000000.0,-2930000000.0,4300000000.0,302000000.0
Unrealized Gain Loss On Investment Securities,,,,,-1000000.0
Deferred Tax,1161000000.0,-725000000.0,421000000.0,-83000000.0,180000000.0
Deferred Income Tax,1161000000.0,-725000000.0,421000000.0,-83000000.0,180000000.0
Depreciation Amortization Depletion,2905000000.0,2845000000.0,2811000000.0,2755000000.0,2699000000.0
Depreciation And Amortization,2905000000.0,2845000000.0,2811000000.0,2755000000.0,2699000000.0
Operating Gains Losses,-3835000000.0,3062000000.0,,3623000000.0,-1000000.0
Gain Loss On Investment Securities,-3835000000.0,3062000000.0,,3623000000.0,-1000000.0
Gain Loss On Sale Of Business,,,0.0,0.0,0.0
Net Income From Continuing Operations,8053000000.0,1896000000.0,5809000000.0,-1767000000.0,5147000000.0
