,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.249,0.295,0.347,0.4,0.225
Normalized EBITDA,14274000000.0,6197000000.0,12323000000.0,1908000000.0,9822000000.0
Total Unusual Items,,,0.0,0.0,
Total Unusual Items Excluding Goodwill,,,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,7891000000.0,1673000000.0,6275000000.0,-1798000000.0,5149000000.0
Reconciled Depreciation,2905000000.0,2845000000.0,2811000000.0,2755000000.0,2699000000.0
Reconciled Cost Of Revenue,121850000000.0,115284000000.0,125423000000.0,115613000000.0,115838000000.0
EBITDA,14274000000.0,6197000000.0,12323000000.0,1908000000.0,9822000000.0
EBIT,11369000000.0,3352000000.0,9512000000.0,-847000000.0,7123000000.0
Net Interest Income,-494000000.0,-557000000.0,-507000000.0,-500000000.0,-448000000.0
Interest Expense,642000000.0,664000000.0,610000000.0,584000000.0,479000000.0
Interest Income,148000000.0,107000000.0,103000000.0,84000000.0,31000000.0
Normalized Income,7891000000.0,1673000000.0,6275000000.0,-1798000000.0,5149000000.0
Net Income From Continuing And Discontinued Operation,7891000000.0,1673000000.0,6275000000.0,-1798000000.0,5149000000.0
Total Expenses,154316000000.0,146061000000.0,158487000000.0,150118000000.0,146005000000.0
Total Operating Income As Reported,7316000000.0,6240000000.0,5561000000.0,2695000000.0,6854000000.0
Diluted Average Shares,2703000000.0,2704000000.0,2707000000.0,2711000000.0,2745000000.0
Basic Average Shares,2693000000.0,2694000000.0,2696000000.0,2711000000.0,2736000000.0
Diluted EPS,2.92,0.62,2.32,-0.66,1.88
Basic EPS,2.93,0.62,2.33,-0.66,1.88
Diluted NI Availto Com Stockholders,7891000000.0,1673000000.0,6275000000.0,-1798000000.0,5149000000.0
Net Income Common Stockholders,7891000000.0,1673000000.0,6275000000.0,-1798000000.0,5149000000.0
Net Income,7891000000.0,1673000000.0,6275000000.0,-1798000000.0,5149000000.0
Minority Interests,-162000000.0,-223000000.0,466000000.0,-31000000.0,2000000.0
Net Income Including Noncontrolling Interests,8053000000.0,1896000000.0,5809000000.0,-1767000000.0,5147000000.0
Net Income Continuous Operations,8053000000.0,1896000000.0,5809000000.0,-1767000000.0,5147000000.0
Tax Provision,2674000000.0,792000000.0,3093000000.0,336000000.0,1497000000.0
Pretax Income,10727000000.0,2688000000.0,8902000000.0,-1431000000.0,6644000000.0
Other Income Expense,3905000000.0,-2995000000.0,3848000000.0,-3626000000.0,238000000.0
Other Non Operating Income Expenses,3905000000.0,-2995000000.0,3848000000.0,-3626000000.0,238000000.0
Special Income Charges,,,0.0,0.0,
Net Non Operating Interest Income Expense,-494000000.0,-557000000.0,-507000000.0,-500000000.0,-448000000.0
Interest Expense Non Operating,642000000.0,664000000.0,610000000.0,584000000.0,479000000.0
Interest Income Non Operating,148000000.0,107000000.0,103000000.0,84000000.0,31000000.0
Operating Income,7316000000.0,6240000000.0,5561000000.0,2695000000.0,6854000000.0
Operating Expense,32466000000.0,30777000000.0,33064000000.0,34505000000.0,30167000000.0
Selling General And Administration,32466000000.0,30777000000.0,33064000000.0,34505000000.0,30167000000.0
Gross Profit,39782000000.0,37017000000.0,38625000000.0,37200000000.0,37021000000.0
Cost Of Revenue,121850000000.0,115284000000.0,125423000000.0,115613000000.0,115838000000.0
Total Revenue,161632000000.0,152301000000.0,164048000000.0,152813000000.0,152859000000.0
Operating Revenue,161632000000.0,152301000000.0,164048000000.0,152813000000.0,152859000000.0
